timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,32.87,0.00,0.00,510,16764
2026-01-02 09:30:01,32.88,0.01,0.03,490,16111
2026-01-02 09:30:02,32.87,0.00,0.00,472,15515
2026-01-02 09:30:03,32.88,0.01,0.03,503,16539
2026-01-02 09:30:04,32.87,0.00,0.00,447,14693
2026-01-02 09:30:05,32.86,-0.01,-0.03,471,15477
2026-01-02 09:30:06,32.87,0.00,0.00,509,16731
2026-01-02 09:30:07,32.86,-0.01,-0.03,486,15970
2026-01-02 09:30:08,32.87,0.00,0.00,476,15646
2026-01-02 09:30:09,32.86,-0.01,-0.03,497,16331
2026-01-02 09:30:10,32.87,0.00,0.00,431,14167
2026-01-02 09:30:11,32.88,0.01,0.03,470,15454
2026-01-02 09:30:12,32.87,0.00,0.00,449,14759
2026-01-02 09:30:13,32.86,-0.01,-0.03,489,16069
2026-01-02 09:30:14,32.87,0.00,0.00,494,16238
2026-01-02 09:30:15,32.88,0.01,0.03,491,16144
2026-01-02 09:30:16,32.87,0.00,0.00,463,15219
2026-01-02 09:30:17,32.86,-0.01,-0.03,442,14524
2026-01-02 09:30:18,32.87,0.00,0.00,441,14496
2026-01-02 09:30:19,32.88,0.01,0.03,464,15256
2026-01-02 09:30:20,32.87,0.00,0.00,452,14857
2026-01-02 09:30:21,32.86,-0.01,-0.03,477,15674
2026-01-02 09:30:22,32.87,0.00,0.00,482,15843
2026-01-02 09:30:23,32.88,0.01,0.03,483,15881
2026-01-02 09:30:24,32.87,0.00,0.00,470,15449
2026-01-02 09:30:25,32.86,-0.01,-0.03,518,17021
2026-01-02 09:30:26,32.87,0.00,0.00,465,15285
2026-01-02 09:30:27,32.86,-0.01,-0.03,476,15641
2026-01-02 09:30:28,32.87,0.00,0.00,471,15482
2026-01-02 09:30:29,32.86,-0.01,-0.03,445,14623
2026-01-02 09:30:30,32.87,0.00,0.00,498,16369
2026-01-02 09:30:31,32.88,0.01,0.03,500,16440
2026-01-02 09:30:32,32.87,0.00,0.00,464,15252
2026-01-02 09:30:33,32.88,0.01,0.03,484,15914
2026-01-02 09:30:34,32.87,0.00,0.00,454,14923
2026-01-02 09:30:35,32.86,-0.01,-0.03,487,16003
2026-01-02 09:30:36,32.87,0.00,0.00,457,15022
2026-01-02 09:30:37,32.86,-0.01,-0.03,476,15641
2026-01-02 09:30:38,32.88,0.01,0.03,486,15980
2026-01-02 09:30:39,32.87,0.00,0.00,458,15054
2026-01-02 09:30:40,32.86,-0.01,-0.03,467,15346
2026-01-02 09:30:41,32.87,0.00,0.00,495,16271
2026-01-02 09:30:42,32.88,0.01,0.03,444,14599
2026-01-02 09:30:43,32.89,0.02,0.06,519,17070
2026-01-02 09:30:44,32.88,0.01,0.03,459,15092
