timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,53.75,0.00,0.00,307,16501
2026-01-02 09:30:01,53.76,0.01,0.02,331,17795
2026-01-02 09:30:02,53.75,0.00,0.00,287,15426
2026-01-02 09:30:03,53.74,-0.01,-0.02,330,17734
2026-01-02 09:30:04,53.75,0.00,0.00,303,16286
2026-01-02 09:30:05,53.74,-0.01,-0.02,308,16552
2026-01-02 09:30:06,53.75,0.00,0.00,333,17899
2026-01-02 09:30:07,53.74,-0.01,-0.02,330,17734
2026-01-02 09:30:08,53.75,0.00,0.00,308,16555
2026-01-02 09:30:09,53.76,0.01,0.02,295,15859
2026-01-02 09:30:10,53.75,0.00,0.00,347,18651
2026-01-02 09:30:11,53.74,-0.01,-0.02,310,16659
2026-01-02 09:30:12,53.75,0.00,0.00,327,17576
2026-01-02 09:30:13,53.74,-0.01,-0.02,344,18487
2026-01-02 09:30:14,53.75,0.00,0.00,306,16448
2026-01-02 09:30:15,53.74,-0.01,-0.02,297,15961
2026-01-02 09:30:16,53.75,0.00,0.00,307,16501
2026-01-02 09:30:17,53.76,0.01,0.02,319,17149
2026-01-02 09:30:18,53.75,0.00,0.00,320,17200
2026-01-02 09:30:19,53.76,0.01,0.02,295,15859
2026-01-02 09:30:20,53.75,0.00,0.00,317,17039
2026-01-02 09:30:21,53.74,-0.01,-0.02,305,16391
2026-01-02 09:30:22,53.75,0.00,0.00,319,17146
2026-01-02 09:30:23,53.74,-0.01,-0.02,311,16713
2026-01-02 09:30:24,53.75,0.00,0.00,318,17092
2026-01-02 09:30:25,53.74,-0.01,-0.02,309,16606
2026-01-02 09:30:26,53.75,0.00,0.00,288,15480
2026-01-02 09:30:27,53.76,0.01,0.02,323,17364
2026-01-02 09:30:28,53.75,0.00,0.00,318,17092
2026-01-02 09:30:29,53.74,-0.01,-0.02,335,18003
2026-01-02 09:30:30,53.75,0.00,0.00,298,16018
2026-01-02 09:30:31,53.76,0.01,0.02,348,18708
2026-01-02 09:30:32,53.75,0.00,0.00,295,15856
2026-01-02 09:30:33,53.74,-0.01,-0.02,287,15423
2026-01-02 09:30:34,53.75,0.00,0.00,315,16931
2026-01-02 09:30:35,53.74,-0.01,-0.02,299,16068
2026-01-02 09:30:36,53.75,0.00,0.00,321,17254
2026-01-02 09:30:37,53.76,0.01,0.02,319,17149
2026-01-02 09:30:38,53.75,0.00,0.00,352,18920
2026-01-02 09:30:39,53.74,-0.01,-0.02,289,15531
2026-01-02 09:30:40,53.73,-0.02,-0.04,314,16871
2026-01-02 09:30:41,53.74,-0.01,-0.02,344,18487
2026-01-02 09:30:42,53.75,0.00,0.00,338,18168
2026-01-02 09:30:43,53.74,-0.01,-0.02,318,17089
2026-01-02 09:30:44,53.73,-0.02,-0.04,326,17516
2026-01-02 09:30:45,53.74,-0.01,-0.02,315,16928
2026-01-02 09:30:46,53.73,-0.02,-0.04,307,16495
2026-01-02 09:30:47,53.74,-0.01,-0.02,349,18755
2026-01-02 09:30:48,53.75,0.00,0.00,311,16716
2026-01-02 09:30:49,53.74,-0.01,-0.02,323,17358
2026-01-02 09:30:50,53.73,-0.02,-0.04,323,17355
2026-01-02 09:30:51,53.74,-0.01,-0.02,309,16606
2026-01-02 09:30:52,53.73,-0.02,-0.04,339,18214
2026-01-02 09:30:53,53.74,-0.01,-0.02,338,18164
2026-01-02 09:30:54,53.73,-0.02,-0.04,333,17892
2026-01-02 09:30:55,53.74,-0.01,-0.02,303,16283
2026-01-02 09:30:56,53.73,-0.02,-0.04,340,18268
2026-01-02 09:30:57,53.74,-0.01,-0.02,299,16068
2026-01-02 09:30:58,53.75,0.00,0.00,345,18544
2026-01-02 09:30:59,53.74,-0.01,-0.02,335,18003
2026-01-02 09:31:00,53.73,-0.02,-0.04,326,17516
2026-01-02 09:31:01,53.74,-0.01,-0.02,339,18218
2026-01-02 09:31:02,53.73,-0.02,-0.04,309,16603
2026-01-02 09:31:03,53.74,-0.01,-0.02,309,16606
2026-01-02 09:31:04,53.75,0.00,0.00,315,16931
2026-01-02 09:31:05,53.74,-0.01,-0.02,328,17627
2026-01-02 09:31:06,53.75,0.00,0.00,312,16770
2026-01-02 09:31:07,53.74,-0.01,-0.02,340,18272
2026-01-02 09:31:08,53.73,-0.02,-0.04,331,17785
2026-01-02 09:31:09,53.74,-0.01,-0.02,291,15638
2026-01-02 09:31:10,53.73,-0.02,-0.04,326,17516
2026-01-02 09:31:11,53.74,-0.01,-0.02,310,16659
2026-01-02 09:31:12,53.73,-0.02,-0.04,272,14615
