timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,35.88,0.00,0.00,572,20523
2026-01-02 09:30:01,35.87,-0.01,-0.03,603,21630
2026-01-02 09:30:02,35.88,0.00,0.00,531,19052
2026-01-02 09:30:03,35.89,0.01,0.03,572,20529
2026-01-02 09:30:04,35.88,0.00,0.00,579,20775
2026-01-02 09:30:05,35.89,0.01,0.03,559,20063
2026-01-02 09:30:06,35.88,0.00,0.00,514,18442
2026-01-02 09:30:07,35.87,-0.01,-0.03,542,19442
2026-01-02 09:30:08,35.88,0.00,0.00,587,21062
2026-01-02 09:30:09,35.89,0.01,0.03,568,20386
2026-01-02 09:30:10,35.88,0.00,0.00,616,22102
2026-01-02 09:30:11,35.89,0.01,0.03,573,20565
2026-01-02 09:30:12,35.88,0.00,0.00,582,20882
2026-01-02 09:30:13,35.87,-0.01,-0.03,557,19980
2026-01-02 09:30:14,35.88,0.00,0.00,543,19483
2026-01-02 09:30:15,35.89,0.01,0.03,521,18699
2026-01-02 09:30:16,35.88,0.00,0.00,566,20308
2026-01-02 09:30:17,35.87,-0.01,-0.03,553,19836
2026-01-02 09:30:18,35.88,0.00,0.00,541,19411
2026-01-02 09:30:19,35.87,-0.01,-0.03,555,19908
2026-01-02 09:30:20,35.88,0.00,0.00,587,21062
2026-01-02 09:30:21,35.89,0.01,0.03,573,20565
2026-01-02 09:30:22,35.88,0.00,0.00,553,19842
2026-01-02 09:30:23,35.89,0.01,0.03,572,20529
2026-01-02 09:30:24,35.88,0.00,0.00,579,20775
2026-01-02 09:30:25,35.89,0.01,0.03,550,19740
2026-01-02 09:30:26,35.88,0.00,0.00,562,20165
2026-01-02 09:30:27,35.87,-0.01,-0.03,527,18903
2026-01-02 09:30:28,35.88,0.00,0.00,546,19590
2026-01-02 09:30:29,35.89,0.01,0.03,549,19704
2026-01-02 09:30:30,35.88,0.00,0.00,536,19232
2026-01-02 09:30:31,35.87,-0.01,-0.03,547,19621
2026-01-02 09:30:32,35.88,0.00,0.00,541,19411
2026-01-02 09:30:33,35.89,0.01,0.03,559,20063
2026-01-02 09:30:34,35.88,0.00,0.00,587,21062
2026-01-02 09:30:35,35.87,-0.01,-0.03,513,18401
2026-01-02 09:30:36,35.88,0.00,0.00,544,19519
2026-01-02 09:30:37,35.89,0.01,0.03,582,20888
2026-01-02 09:30:38,35.88,0.00,0.00,552,19806
2026-01-02 09:30:39,35.89,0.01,0.03,554,19883
2026-01-02 09:30:40,35.88,0.00,0.00,515,18478
2026-01-02 09:30:41,35.87,-0.01,-0.03,558,20015
