timestamp,price,change_amount,change_pct,volume,amount
2025-12-31 09:30:00,35.10,0.00,0.00,459,16111
2025-12-31 09:30:01,35.09,-0.01,-0.03,522,18317
2025-12-31 09:30:02,35.10,0.00,0.00,491,17234
2025-12-31 09:30:03,35.09,-0.01,-0.03,464,16282
2025-12-31 09:30:04,35.10,0.00,0.00,493,17304
2025-12-31 09:30:05,35.11,0.01,0.03,524,18398
2025-12-31 09:30:06,35.10,0.00,0.00,485,17024
2025-12-31 09:30:07,35.09,-0.01,-0.03,485,17019
2025-12-31 09:30:08,35.10,0.00,0.00,499,17515
2025-12-31 09:30:09,35.09,-0.01,-0.03,497,17440
2025-12-31 09:30:10,35.10,0.00,0.00,443,15549
2025-12-31 09:30:11,35.11,0.01,0.03,499,17520
2025-12-31 09:30:12,35.10,0.00,0.00,470,16497
2025-12-31 09:30:13,35.09,-0.01,-0.03,499,17510
2025-12-31 09:30:14,35.10,0.00,0.00,501,17585
2025-12-31 09:30:15,35.11,0.01,0.03,484,16993
2025-12-31 09:30:16,35.10,0.00,0.00,505,17726
2025-12-31 09:30:17,35.09,-0.01,-0.03,500,17545
2025-12-31 09:30:18,35.10,0.00,0.00,496,17410
2025-12-31 09:30:19,35.09,-0.01,-0.03,474,16633
2025-12-31 09:30:20,35.10,0.00,0.00,479,16813
2025-12-31 09:30:21,35.11,0.01,0.03,511,17941
2025-12-31 09:30:22,35.10,0.00,0.00,509,17866
2025-12-31 09:30:23,35.11,0.01,0.03,488,17134
2025-12-31 09:30:24,35.12,0.02,0.06,492,17279
2025-12-31 09:30:25,35.10,0.00,0.00,516,18112
2025-12-31 09:30:26,35.11,0.01,0.03,477,16747
2025-12-31 09:30:27,35.10,0.00,0.00,490,17199
2025-12-31 09:30:28,35.11,0.01,0.03,498,17485
2025-12-31 09:30:29,35.10,0.00,0.00,497,17445
2025-12-31 09:30:30,35.11,0.01,0.03,512,17976
2025-12-31 09:30:31,35.10,0.00,0.00,466,16357
2025-12-31 09:30:32,35.09,-0.01,-0.03,527,18492
2025-12-31 09:30:33,35.10,0.00,0.00,440,15444
2025-12-31 09:30:34,35.09,-0.01,-0.03,506,17756
2025-12-31 09:30:35,35.10,0.00,0.00,494,17339
2025-12-31 09:30:36,35.11,0.01,0.03,475,16677
2025-12-31 09:30:37,35.10,0.00,0.00,476,16708
2025-12-31 09:30:38,35.11,0.01,0.03,492,17274
2025-12-31 09:30:39,35.10,0.00,0.00,539,18919
2025-12-31 09:30:40,35.11,0.01,0.03,462,16221
2025-12-31 09:30:41,35.10,0.00,0.00,473,16602
2025-12-31 09:30:42,35.11,0.01,0.03,492,17274
2025-12-31 09:30:43,35.10,0.00,0.00,446,15655
2025-12-31 09:30:44,35.11,0.01,0.03,494,17344
2025-12-31 09:30:45,35.10,0.00,0.00,507,17796
2025-12-31 09:30:46,35.09,-0.01,-0.03,480,16843
2025-12-31 09:30:47,35.10,0.00,0.00,486,17059
2025-12-31 09:30:48,35.09,-0.01,-0.03,496,17405
2025-12-31 09:30:49,35.10,0.00,0.00,463,16251
2025-12-31 09:30:50,35.09,-0.01,-0.03,468,16422
2025-12-31 09:30:51,35.10,0.00,0.00,484,16988
2025-12-31 09:30:52,35.09,-0.01,-0.03,507,17791
2025-12-31 09:30:53,35.10,0.00,0.00,478,16778
2025-12-31 09:30:54,35.11,0.01,0.03,504,17695
2025-12-31 09:30:55,35.10,0.00,0.00,526,18463
2025-12-31 09:30:56,35.11,0.01,0.03,481,16888
2025-12-31 09:30:57,35.10,0.00,0.00,467,16392
2025-12-31 09:30:58,35.09,-0.01,-0.03,445,15615
2025-12-31 09:30:59,35.10,0.00,0.00,507,17796
2025-12-31 09:31:00,35.11,0.01,0.03,485,17028
2025-12-31 09:31:01,35.10,0.00,0.00,503,17655
2025-12-31 09:31:02,35.11,0.01,0.03,483,16958
2025-12-31 09:31:03,35.10,0.00,0.00,483,16953
2025-12-31 09:31:04,35.11,0.01,0.03,490,17204
2025-12-31 09:31:05,35.12,0.02,0.06,491,17244
2025-12-31 09:31:06,35.11,0.01,0.03,512,17976
2025-12-31 09:31:07,35.12,0.02,0.06,476,16717
2025-12-31 09:31:08,35.11,0.01,0.03,489,17169
2025-12-31 09:31:09,35.10,0.00,0.00,460,16146
2025-12-31 09:31:10,35.11,0.01,0.03,543,19065
