timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,396.97,0.00,0.00,586,232624
2026-01-02 09:30:01,396.99,0.02,0.01,590,234224
2026-01-02 09:30:02,396.98,0.01,0.00,614,243746
2026-01-02 09:30:03,396.96,-0.01,-0.00,598,237382
2026-01-02 09:30:04,396.94,-0.03,-0.01,615,244118
2026-01-02 09:30:05,396.93,-0.04,-0.01,619,245700
2026-01-02 09:30:06,396.94,-0.03,-0.01,538,213554
2026-01-02 09:30:07,396.97,0.00,0.00,601,238579
2026-01-02 09:30:08,396.96,-0.01,-0.00,592,235000
2026-01-02 09:30:09,396.97,0.00,0.00,629,249694
2026-01-02 09:30:10,396.99,0.02,0.01,567,225093
2026-01-02 09:30:11,396.98,0.01,0.00,627,248906
2026-01-02 09:30:12,397.02,0.05,0.01,582,231066
2026-01-02 09:30:13,397.01,0.04,0.01,635,252101
2026-01-02 09:30:14,397.00,0.03,0.01,622,246934
2026-01-02 09:30:15,397.01,0.04,0.01,584,231854
2026-01-02 09:30:16,396.99,0.02,0.01,598,237400
2026-01-02 09:30:17,397.00,0.03,0.01,569,225893
2026-01-02 09:30:18,396.98,0.01,0.00,613,243349
2026-01-02 09:30:19,397.00,0.03,0.01,604,239788
2026-01-02 09:30:20,396.99,0.02,0.01,636,252486
2026-01-02 09:30:21,397.00,0.03,0.01,636,252492
2026-01-02 09:30:22,397.01,0.04,0.01,606,240588
2026-01-02 09:30:23,396.99,0.02,0.01,599,237797
2026-01-02 09:30:24,396.98,0.01,0.00,614,243746
2026-01-02 09:30:25,397.00,0.03,0.01,653,259241
2026-01-02 09:30:26,396.99,0.02,0.01,580,230254
2026-01-02 09:30:27,396.97,0.00,0.00,594,235800
2026-01-02 09:30:28,396.96,-0.01,-0.00,652,258818
2026-01-02 09:30:29,396.99,0.02,0.01,594,235812
2026-01-02 09:30:30,396.98,0.01,0.00,613,243349
2026-01-02 09:30:31,396.95,-0.02,-0.01,617,244918
2026-01-02 09:30:32,396.93,-0.04,-0.01,615,244112
2026-01-02 09:30:33,396.94,-0.03,-0.01,596,236576
2026-01-02 09:30:34,396.93,-0.04,-0.01,625,248081
2026-01-02 09:30:35,396.95,-0.02,-0.01,598,237376
2026-01-02 09:30:36,396.97,0.00,0.00,561,222700
2026-01-02 09:30:37,396.96,-0.01,-0.00,607,240955
2026-01-02 09:30:38,396.95,-0.02,-0.01,646,256430
2026-01-02 09:30:39,396.96,-0.01,-0.00,577,229046
2026-01-02 09:30:40,396.92,-0.05,-0.01,647,256807
2026-01-02 09:30:41,396.91,-0.06,-0.02,582,231002
2026-01-02 09:30:42,396.89,-0.08,-0.02,639,253613
2026-01-02 09:30:43,396.88,-0.09,-0.02,565,224237
2026-01-02 09:30:44,396.91,-0.06,-0.02,568,225445
2026-01-02 09:30:45,396.90,-0.07,-0.02,606,240521
2026-01-02 09:30:46,396.91,-0.06,-0.02,575,228223
2026-01-02 09:30:47,396.90,-0.07,-0.02,607,240918
2026-01-02 09:30:48,396.89,-0.08,-0.02,608,241309
2026-01-02 09:30:49,396.91,-0.06,-0.02,602,238940
2026-01-02 09:30:50,396.92,-0.05,-0.01,607,240930
2026-01-02 09:30:51,396.90,-0.07,-0.02,596,236552
2026-01-02 09:30:52,396.92,-0.05,-0.01,589,233786
2026-01-02 09:30:53,396.93,-0.04,-0.01,600,238158
2026-01-02 09:30:54,396.95,-0.02,-0.01,570,226262
2026-01-02 09:30:55,396.94,-0.03,-0.01,609,241736
2026-01-02 09:30:56,396.95,-0.02,-0.01,591,234597
2026-01-02 09:30:57,396.94,-0.03,-0.01,584,231813
2026-01-02 09:30:58,396.96,-0.01,-0.00,601,238573
2026-01-02 09:30:59,396.98,0.01,0.00,553,219530
2026-01-02 09:31:00,396.96,-0.01,-0.00,596,236588
2026-01-02 09:31:01,396.95,-0.02,-0.01,574,227849
2026-01-02 09:31:02,396.96,-0.01,-0.00,603,239367
2026-01-02 09:31:03,396.97,0.00,0.00,573,227464
2026-01-02 09:31:04,396.96,-0.01,-0.00,571,226664
2026-01-02 09:31:05,396.95,-0.02,-0.01,587,233010
2026-01-02 09:31:06,396.94,-0.03,-0.01,548,217523
2026-01-02 09:31:07,396.96,-0.01,-0.00,632,250879
2026-01-02 09:31:08,396.98,0.01,0.00,606,240570
2026-01-02 09:31:09,396.99,0.02,0.01,621,246531
