timestamp,price,change_amount,change_pct,volume,amount
2025-12-31 09:30:00,299.93,0.00,0.00,520,155964
2025-12-31 09:30:01,299.95,0.02,0.01,529,158674
2025-12-31 09:30:02,299.99,0.06,0.02,544,163195
2025-12-31 09:30:03,300.02,0.09,0.03,504,151210
2025-12-31 09:30:04,300.03,0.10,0.03,576,172817
2025-12-31 09:30:05,300.04,0.11,0.04,536,160821
2025-12-31 09:30:06,300.03,0.10,0.03,525,157516
2025-12-31 09:30:07,300.05,0.12,0.04,533,159927
2025-12-31 09:30:08,300.08,0.15,0.05,547,164144
2025-12-31 09:30:09,300.05,0.12,0.04,547,164127
2025-12-31 09:30:10,300.04,0.11,0.04,531,159321
2025-12-31 09:30:11,300.03,0.10,0.03,521,156316
2025-12-31 09:30:12,300.02,0.09,0.03,507,152110
2025-12-31 09:30:13,300.01,0.08,0.03,541,162305
2025-12-31 09:30:14,300.03,0.10,0.03,530,159016
2025-12-31 09:30:15,300.02,0.09,0.03,532,159611
2025-12-31 09:30:16,300.05,0.12,0.04,523,156926
2025-12-31 09:30:17,300.04,0.11,0.04,534,160221
2025-12-31 09:30:18,300.00,0.07,0.02,557,167100
2025-12-31 09:30:19,300.07,0.14,0.05,539,161738
2025-12-31 09:30:20,300.05,0.12,0.04,485,145524
2025-12-31 09:30:21,300.06,0.13,0.04,493,147930
2025-12-31 09:30:22,300.05,0.12,0.04,550,165028
2025-12-31 09:30:23,300.09,0.16,0.05,523,156947
2025-12-31 09:30:24,300.07,0.14,0.05,496,148835
2025-12-31 09:30:25,300.06,0.13,0.04,538,161432
2025-12-31 09:30:26,300.02,0.09,0.03,515,154510
2025-12-31 09:30:27,300.03,0.10,0.03,535,160516
2025-12-31 09:30:28,300.06,0.13,0.04,525,157532
2025-12-31 09:30:29,300.10,0.17,0.06,543,162954
2025-12-31 09:30:30,300.05,0.12,0.04,554,166228
2025-12-31 09:30:31,300.06,0.13,0.04,527,158132
2025-12-31 09:30:32,300.08,0.15,0.05,518,155441
2025-12-31 09:30:33,300.10,0.17,0.06,490,147049
2025-12-31 09:30:34,300.11,0.18,0.06,488,146454
2025-12-31 09:30:35,300.10,0.17,0.06,550,165055
2025-12-31 09:30:36,300.09,0.16,0.05,539,161749
2025-12-31 09:30:37,300.10,0.17,0.06,531,159353
2025-12-31 09:30:38,300.08,0.15,0.05,561,168345
2025-12-31 09:30:39,300.07,0.14,0.05,550,165038
2025-12-31 09:30:40,300.09,0.16,0.05,575,172552
2025-12-31 09:30:41,300.10,0.17,0.06,577,173158
2025-12-31 09:30:42,300.12,0.19,0.06,479,143757
2025-12-31 09:30:43,300.15,0.22,0.07,529,158779
2025-12-31 09:30:44,300.13,0.20,0.07,507,152166
2025-12-31 09:30:45,300.10,0.17,0.06,529,158753
2025-12-31 09:30:46,300.09,0.16,0.05,520,156047
2025-12-31 09:30:47,300.12,0.19,0.06,547,164166
2025-12-31 09:30:48,300.11,0.18,0.06,475,142552
2025-12-31 09:30:49,300.10,0.17,0.06,523,156952
2025-12-31 09:30:50,300.09,0.16,0.05,514,154246
2025-12-31 09:30:51,300.13,0.20,0.07,510,153066
2025-12-31 09:30:52,300.11,0.18,0.06,564,169262
2025-12-31 09:30:53,300.10,0.17,0.06,536,160854
2025-12-31 09:30:54,300.08,0.15,0.05,542,162643
2025-12-31 09:30:55,300.11,0.18,0.06,520,156057
2025-12-31 09:30:56,300.13,0.20,0.07,520,156068
2025-12-31 09:30:57,300.15,0.22,0.07,532,159680
2025-12-31 09:30:58,300.17,0.24,0.08,525,157589
2025-12-31 09:30:59,300.16,0.23,0.08,510,153082
2025-12-31 09:31:00,300.15,0.22,0.07,511,153377
2025-12-31 09:31:01,300.14,0.21,0.07,577,173181
2025-12-31 09:31:02,300.15,0.22,0.07,537,161181
2025-12-31 09:31:03,300.14,0.21,0.07,541,162376
2025-12-31 09:31:04,300.16,0.23,0.08,503,150980
2025-12-31 09:31:05,300.20,0.27,0.09,527,158205
2025-12-31 09:31:06,300.22,0.29,0.10,512,153713
2025-12-31 09:31:07,300.21,0.28,0.09,467,140198
2025-12-31 09:31:08,300.17,0.24,0.08,535,160591
2025-12-31 09:31:09,300.16,0.23,0.08,552,165688
2025-12-31 09:31:10,300.14,0.21,0.07,464,139265
2025-12-31 09:31:11,300.13,0.20,0.07,499,149765
2025-12-31 09:31:12,300.14,0.21,0.07,520,156073
2025-12-31 09:31:13,300.16,0.23,0.08,557,167189
2025-12-31 09:31:14,300.18,0.25,0.08,497,149189
2025-12-31 09:31:15,300.22,0.29,0.10,516,154914
2025-12-31 09:31:16,300.23,0.30,0.10,513,154018
2025-12-31 09:31:17,300.24,0.31,0.10,543,163030
2025-12-31 09:31:18,300.25,0.32,0.11,523,157031
2025-12-31 09:31:19,300.22,0.29,0.10,539,161819
2025-12-31 09:31:20,300.20,0.27,0.09,520,156104
2025-12-31 09:31:21,300.22,0.29,0.10,525,157616
2025-12-31 09:31:22,300.23,0.30,0.10,509,152817
2025-12-31 09:31:23,300.25,0.32,0.11,480,144120
2025-12-31 09:31:24,300.26,0.33,0.11,564,169347
2025-12-31 09:31:25,300.29,0.36,0.12,508,152547
2025-12-31 09:31:26,300.32,0.39,0.13,576,172984
2025-12-31 09:31:27,300.31,0.38,0.13,507,152257
2025-12-31 09:31:28,300.30,0.37,0.12,529,158859
2025-12-31 09:31:29,300.29,0.36,0.12,534,160355
2025-12-31 09:31:30,300.30,0.37,0.12,491,147447
2025-12-31 09:31:31,300.32,0.39,0.13,518,155566
