timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,9915.19,0.00,0.00,767,7604951
2026-01-02 09:30:01,9915.10,-0.09,-0.00,827,8199788
2026-01-02 09:30:02,9917.46,2.27,0.02,821,8142235
2026-01-02 09:30:03,9916.80,1.61,0.02,907,8994538
2026-01-02 09:30:04,9917.18,1.99,0.02,866,8588278
2026-01-02 09:30:05,9917.20,2.01,0.02,837,8300696
2026-01-02 09:30:06,9918.33,3.14,0.03,791,7845399
2026-01-02 09:30:07,9918.87,3.68,0.04,853,8460796
2026-01-02 09:30:08,9918.31,3.12,0.03,917,9095090
2026-01-02 09:30:09,9918.10,2.91,0.03,871,8638665
2026-01-02 09:30:10,9919.00,3.81,0.04,881,8738639
2026-01-02 09:30:11,9919.32,4.13,0.04,815,8084246
2026-01-02 09:30:12,9919.26,4.07,0.04,897,8897576
2026-01-02 09:30:13,9919.19,4.00,0.04,869,8619776
2026-01-02 09:30:14,9919.37,4.18,0.04,851,8441384
2026-01-02 09:30:15,9919.06,3.87,0.04,878,8708935
2026-01-02 09:30:16,9918.92,3.73,0.04,878,8708812
2026-01-02 09:30:17,9918.24,3.05,0.03,808,8013938
2026-01-02 09:30:18,9916.59,1.40,0.01,841,8339852
2026-01-02 09:30:19,9916.40,1.21,0.01,853,8458689
2026-01-02 09:30:20,9916.66,1.47,0.01,872,8647328
2026-01-02 09:30:21,9915.54,0.35,0.00,883,8755422
2026-01-02 09:30:22,9916.39,1.20,0.01,842,8349600
2026-01-02 09:30:23,9916.07,0.88,0.01,824,8170842
2026-01-02 09:30:24,9916.66,1.47,0.01,868,8607661
2026-01-02 09:30:25,9915.13,-0.06,-0.00,820,8130407
2026-01-02 09:30:26,9916.03,0.84,0.01,863,8557534
2026-01-02 09:30:27,9915.67,0.48,0.00,828,8210175
2026-01-02 09:30:28,9914.48,-0.71,-0.01,886,8784229
2026-01-02 09:30:29,9914.09,-1.10,-0.01,822,8149382
2026-01-02 09:30:30,9913.66,-1.53,-0.02,862,8545575
2026-01-02 09:30:31,9914.54,-0.65,-0.01,882,8744624
2026-01-02 09:30:32,9914.65,-0.54,-0.01,819,8120098
2026-01-02 09:30:33,9913.79,-1.40,-0.01,834,8268101
2026-01-02 09:30:34,9914.93,-0.26,-0.00,846,8388031
2026-01-02 09:30:35,9916.34,1.15,0.01,877,8696630
2026-01-02 09:30:36,9915.89,0.70,0.01,883,8755731
2026-01-02 09:30:37,9915.44,0.25,0.00,837,8299223
2026-01-02 09:30:38,9914.22,-0.97,-0.01,864,8565886
2026-01-02 09:30:39,9915.01,-0.18,-0.00,869,8616144
2026-01-02 09:30:40,9913.95,-1.24,-0.01,875,8674706
2026-01-02 09:30:41,9915.66,0.47,0.00,864,8567130
2026-01-02 09:30:42,9915.34,0.15,0.00,829,8219817
2026-01-02 09:30:43,9915.69,0.50,0.01,861,8537409
2026-01-02 09:30:44,9915.88,0.69,0.01,834,8269844
2026-01-02 09:30:45,9916.29,1.10,0.01,851,8438763
2026-01-02 09:30:46,9916.18,0.99,0.01,848,8408921
2026-01-02 09:30:47,9916.40,1.21,0.01,853,8458689
2026-01-02 09:30:48,9916.37,1.18,0.01,863,8557827
2026-01-02 09:30:49,9916.67,1.48,0.01,841,8339919
2026-01-02 09:30:50,9918.38,3.19,0.03,836,8291766
2026-01-02 09:30:51,9919.26,4.07,0.04,859,8520644
2026-01-02 09:30:52,9921.43,6.24,0.06,854,8472901
2026-01-02 09:30:53,9922.34,7.15,0.07,804,7977561
2026-01-02 09:30:54,9921.74,6.55,0.07,921,9137923
2026-01-02 09:30:55,9921.72,6.53,0.07,866,8592210
2026-01-02 09:30:56,9921.54,6.35,0.06,864,8572211
2026-01-02 09:30:57,9921.20,6.01,0.06,864,8571917
2026-01-02 09:30:58,9920.61,5.42,0.05,858,8511883
