timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,2359.43,0.00,0.00,550,1297686
2026-01-02 09:30:01,2359.45,0.02,0.00,569,1342527
2026-01-02 09:30:02,2359.41,-0.02,-0.00,567,1337785
2026-01-02 09:30:03,2359.36,-0.07,-0.00,646,1524147
2026-01-02 09:30:04,2359.33,-0.10,-0.00,578,1363693
2026-01-02 09:30:05,2359.31,-0.12,-0.01,574,1354244
2026-01-02 09:30:06,2359.32,-0.11,-0.00,603,1422670
2026-01-02 09:30:07,2359.37,-0.06,-0.00,550,1297654
2026-01-02 09:30:08,2359.38,-0.05,-0.00,571,1347206
2026-01-02 09:30:09,2359.40,-0.03,-0.00,546,1288232
2026-01-02 09:30:10,2359.47,0.04,0.00,571,1347257
2026-01-02 09:30:11,2359.41,-0.02,-0.00,579,1366098
2026-01-02 09:30:12,2359.44,0.01,0.00,603,1422742
2026-01-02 09:30:13,2359.42,-0.01,-0.00,550,1297681
2026-01-02 09:30:14,2359.38,-0.05,-0.00,571,1347206
2026-01-02 09:30:15,2359.40,-0.03,-0.00,546,1288232
2026-01-02 09:30:16,2359.41,-0.02,-0.00,629,1484069
2026-01-02 09:30:17,2359.39,-0.04,-0.00,527,1243399
2026-01-02 09:30:18,2359.38,-0.05,-0.00,583,1375519
2026-01-02 09:30:19,2359.36,-0.07,-0.00,565,1333038
2026-01-02 09:30:20,2359.35,-0.08,-0.00,578,1363704
2026-01-02 09:30:21,2359.36,-0.07,-0.00,587,1384944
2026-01-02 09:30:22,2359.42,-0.01,-0.00,581,1370823
2026-01-02 09:30:23,2359.39,-0.04,-0.00,535,1262274
2026-01-02 09:30:24,2359.38,-0.05,-0.00,549,1295300
2026-01-02 09:30:25,2359.37,-0.06,-0.00,585,1380231
2026-01-02 09:30:26,2359.39,-0.04,-0.00,573,1351930
2026-01-02 09:30:27,2359.36,-0.07,-0.00,524,1236305
2026-01-02 09:30:28,2359.32,-0.11,-0.00,584,1377843
2026-01-02 09:30:29,2359.33,-0.10,-0.00,512,1207977
2026-01-02 09:30:30,2359.39,-0.04,-0.00,530,1250477
2026-01-02 09:30:31,2359.38,-0.05,-0.00,548,1292940
2026-01-02 09:30:32,2359.39,-0.04,-0.00,562,1325977
2026-01-02 09:30:33,2359.38,-0.05,-0.00,563,1328331
2026-01-02 09:30:34,2359.40,-0.03,-0.00,556,1311826
2026-01-02 09:30:35,2359.41,-0.02,-0.00,646,1524179
2026-01-02 09:30:36,2359.37,-0.06,-0.00,592,1396747
2026-01-02 09:30:37,2359.40,-0.03,-0.00,577,1361374
2026-01-02 09:30:38,2359.37,-0.06,-0.00,593,1399106
2026-01-02 09:30:39,2359.38,-0.05,-0.00,543,1281143
2026-01-02 09:30:40,2359.36,-0.07,-0.00,577,1361351
2026-01-02 09:30:41,2359.38,-0.05,-0.00,556,1311815
2026-01-02 09:30:42,2359.34,-0.09,-0.00,596,1406167
2026-01-02 09:30:43,2359.37,-0.06,-0.00,564,1330685
2026-01-02 09:30:44,2359.36,-0.07,-0.00,578,1363710
2026-01-02 09:30:45,2359.38,-0.05,-0.00,551,1300018
2026-01-02 09:30:46,2359.42,-0.01,-0.00,559,1318916
2026-01-02 09:30:47,2359.44,0.01,0.00,607,1432180
2026-01-02 09:30:48,2359.45,0.02,0.00,560,1321292
2026-01-02 09:30:49,2359.40,-0.03,-0.00,584,1377890
2026-01-02 09:30:50,2359.37,-0.06,-0.00,582,1373153
2026-01-02 09:30:51,2359.40,-0.03,-0.00,534,1259920
2026-01-02 09:30:52,2359.37,-0.06,-0.00,542,1278779
2026-01-02 09:30:53,2359.38,-0.05,-0.00,580,1368440
2026-01-02 09:30:54,2359.39,-0.04,-0.00,554,1307102
2026-01-02 09:30:55,2359.44,0.01,0.00,575,1356678
2026-01-02 09:30:56,2359.37,-0.06,-0.00,538,1269341
2026-01-02 09:30:57,2359.38,-0.05,-0.00,595,1403831
2026-01-02 09:30:58,2359.36,-0.07,-0.00,563,1328320
2026-01-02 09:30:59,2359.28,-0.15,-0.01,573,1351867
2026-01-02 09:31:00,2359.29,-0.14,-0.01,581,1370747
2026-01-02 09:31:01,2359.28,-0.15,-0.01,578,1363664
2026-01-02 09:31:02,2359.33,-0.10,-0.00,540,1274038
2026-01-02 09:31:03,2359.28,-0.15,-0.01,595,1403772
2026-01-02 09:31:04,2359.30,-0.13,-0.01,570,1344801
2026-01-02 09:31:05,2359.33,-0.10,-0.00,559,1318865
2026-01-02 09:31:06,2359.34,-0.09,-0.00,541,1276403
2026-01-02 09:31:07,2359.27,-0.16,-0.01,575,1356580
2026-01-02 09:31:08,2359.29,-0.14,-0.01,556,1311765
2026-01-02 09:31:09,2359.30,-0.13,-0.01,589,1389628
2026-01-02 09:31:10,2359.31,-0.12,-0.01,567,1337729
2026-01-02 09:31:11,2359.28,-0.15,-0.01,554,1307041
2026-01-02 09:31:12,2359.26,-0.17,-0.01,565,1332982
2026-01-02 09:31:13,2359.33,-0.10,-0.00,562,1325943
2026-01-02 09:31:14,2359.34,-0.09,-0.00,588,1387292
2026-01-02 09:31:15,2359.33,-0.10,-0.00,555,1309428
2026-01-02 09:31:16,2359.29,-0.14,-0.01,584,1377825
2026-01-02 09:31:17,2359.33,-0.10,-0.00,555,1309428
2026-01-02 09:31:18,2359.31,-0.12,-0.01,588,1387274
2026-01-02 09:31:19,2359.39,-0.04,-0.00,560,1321258
2026-01-02 09:31:20,2359.40,-0.03,-0.00,553,1304748
2026-01-02 09:31:21,2359.38,-0.05,-0.00,601,1417987
2026-01-02 09:31:22,2359.41,-0.02,-0.00,591,1394411
2026-01-02 09:31:23,2359.43,0.00,0.00,537,1267014
2026-01-02 09:31:24,2359.44,0.01,0.00,553,1304770
2026-01-02 09:31:25,2359.45,0.02,0.00,600,1415670
2026-01-02 09:31:26,2359.47,0.04,0.00,588,1387368
2026-01-02 09:31:27,2359.46,0.03,0.00,565,1333095
2026-01-02 09:31:28,2359.45,0.02,0.00,516,1217476
2026-01-02 09:31:29,2359.47,0.04,0.00,554,1307146
2026-01-02 09:31:30,2359.46,0.03,0.00,561,1323657
2026-01-02 09:31:31,2359.47,0.04,0.00,543,1281192
2026-01-02 09:31:32,2359.51,0.08,0.00,561,1323685
2026-01-02 09:31:33,2359.46,0.03,0.00,569,1342533
2026-01-02 09:31:34,2359.50,0.07,0.00,558,1316601
2026-01-02 09:31:35,2359.49,0.06,0.00,536,1264687
2026-01-02 09:31:36,2359.48,0.05,0.00,556,1311871
2026-01-02 09:31:37,2359.49,0.06,0.00,559,1318955
2026-01-02 09:31:38,2359.46,0.03,0.00,560,1321298
2026-01-02 09:31:39,2359.39,-0.04,-0.00,592,1396759
2026-01-02 09:31:40,2359.42,-0.01,-0.00,522,1231617
2026-01-02 09:31:41,2359.43,0.00,0.00,605,1427455
2026-01-02 09:31:42,2359.44,0.01,0.00,531,1252863
2026-01-02 09:31:43,2359.45,0.02,0.00,539,1271744
2026-01-02 09:31:44,2359.46,0.03,0.00,546,1288265
2026-01-02 09:31:45,2359.51,0.08,0.00,578,1363797
2026-01-02 09:31:46,2359.47,0.04,0.00,552,1302427
2026-01-02 09:31:47,2359.53,0.10,0.00,550,1297742
2026-01-02 09:31:48,2359.57,0.14,0.01,603,1422821
2026-01-02 09:31:49,2359.58,0.15,0.01,549,1295409
2026-01-02 09:31:50,2359.59,0.16,0.01,535,1262381
2026-01-02 09:31:51,2359.62,0.19,0.01,560,1321387
2026-01-02 09:31:52,2359.61,0.18,0.01,573,1352057
2026-01-02 09:31:53,2359.63,0.20,0.01,555,1309595
2026-01-02 09:31:54,2359.61,0.18,0.01,514,1212840
2026-01-02 09:31:55,2359.62,0.19,0.01,535,1262397
2026-01-02 09:31:56,2359.66,0.23,0.01,553,1304892
2026-01-02 09:31:57,2359.67,0.24,0.01,592,1396925
2026-01-02 09:31:58,2359.73,0.30,0.01,531,1253017
2026-01-02 09:31:59,2359.74,0.31,0.01,599,1413484
2026-01-02 09:32:00,2359.72,0.29,0.01,564,1330882
2026-01-02 09:32:01,2359.77,0.34,0.01,525,1238879
2026-01-02 09:32:02,2359.74,0.31,0.01,532,1255382
2026-01-02 09:32:03,2359.75,0.32,0.01,588,1387533
2026-01-02 09:32:04,2359.74,0.31,0.01,552,1302576
2026-01-02 09:32:05,2359.75,0.32,0.01,490,1156278
2026-01-02 09:32:06,2359.70,0.27,0.01,547,1290756
2026-01-02 09:32:07,2359.67,0.24,0.01,539,1271862
2026-01-02 09:32:08,2359.70,0.27,0.01,523,1234123
2026-01-02 09:32:09,2359.71,0.28,0.01,518,1222330
2026-01-02 09:32:10,2359.75,0.32,0.01,544,1283704
2026-01-02 09:32:11,2359.77,0.34,0.01,558,1316752
2026-01-02 09:32:12,2359.76,0.33,0.01,552,1302588
2026-01-02 09:32:13,2359.72,0.29,0.01,541,1276609
2026-01-02 09:32:14,2359.70,0.27,0.01,558,1316713
2026-01-02 09:32:15,2359.72,0.29,0.01,532,1255371
2026-01-02 09:32:16,2359.67,0.24,0.01,552,1302538
2026-01-02 09:32:17,2359.66,0.23,0.01,566,1335568
2026-01-02 09:32:18,2359.68,0.25,0.01,587,1385132
2026-01-02 09:32:19,2359.69,0.26,0.01,534,1260074
2026-01-02 09:32:20,2359.70,0.27,0.01,544,1283677
2026-01-02 09:32:21,2359.68,0.25,0.01,564,1330860
2026-01-02 09:32:22,2359.72,0.29,0.01,559,1319083
2026-01-02 09:32:23,2359.67,0.24,0.01,552,1302538
2026-01-02 09:32:24,2359.70,0.27,0.01,571,1347389
2026-01-02 09:32:25,2359.72,0.29,0.01,567,1337961
2026-01-02 09:32:26,2359.68,0.25,0.01,564,1330860
2026-01-02 09:32:27,2359.63,0.20,0.01,538,1269481
2026-01-02 09:32:28,2359.65,0.22,0.01,561,1323764
2026-01-02 09:32:29,2359.68,0.25,0.01,560,1321421
2026-01-02 09:32:30,2359.69,0.26,0.01,560,1321426
2026-01-02 09:32:31,2359.75,0.32,0.01,569,1342698
2026-01-02 09:32:32,2359.76,0.33,0.01,504,1189319
2026-01-02 09:32:33,2359.71,0.28,0.01,500,1179855
2026-01-02 09:32:34,2359.75,0.32,0.01,551,1300222
2026-01-02 09:32:35,2359.73,0.30,0.01,572,1349766
2026-01-02 09:32:36,2359.71,0.28,0.01,553,1304920
2026-01-02 09:32:37,2359.74,0.31,0.01,519,1224705
2026-01-02 09:32:38,2359.72,0.29,0.01,521,1229414
2026-01-02 09:32:39,2359.68,0.25,0.01,587,1385132
2026-01-02 09:32:40,2359.67,0.24,0.01,555,1309617
2026-01-02 09:32:41,2359.63,0.20,0.01,528,1245885
2026-01-02 09:32:42,2359.60,0.17,0.01,583,1375647
2026-01-02 09:32:43,2359.62,0.19,0.01,581,1370939
2026-01-02 09:32:44,2359.61,0.18,0.01,583,1375653
2026-01-02 09:32:45,2359.62,0.19,0.01,520,1227002
2026-01-02 09:32:46,2359.65,0.22,0.01,581,1370957
2026-01-02 09:32:47,2359.66,0.23,0.01,529,1248260
2026-01-02 09:32:48,2359.65,0.22,0.01,572,1349720
2026-01-02 09:32:49,2359.68,0.25,0.01,593,1399290
2026-01-02 09:32:50,2359.70,0.27,0.01,512,1208166
2026-01-02 09:32:51,2359.71,0.28,0.01,554,1307279
2026-01-02 09:32:52,2359.74,0.31,0.01,580,1368649
2026-01-02 09:32:53,2359.76,0.33,0.01,558,1316746
2026-01-02 09:32:54,2359.71,0.28,0.01,566,1335596
2026-01-02 09:32:55,2359.72,0.29,0.01,568,1340321
2026-01-02 09:32:56,2359.79,0.36,0.02,551,1300244
2026-01-02 09:32:57,2359.78,0.35,0.01,571,1347434
2026-01-02 09:32:58,2359.74,0.31,0.01,569,1342692
2026-01-02 09:32:59,2359.75,0.32,0.01,553,1304942
2026-01-02 09:33:00,2359.72,0.29,0.01,539,1271889
2026-01-02 09:33:01,2359.71,0.28,0.01,577,1361553
2026-01-02 09:33:02,2359.73,0.30,0.01,584,1378082
2026-01-02 09:33:03,2359.76,0.33,0.01,521,1229435
2026-01-02 09:33:04,2359.84,0.41,0.02,550,1297912
2026-01-02 09:33:05,2359.94,0.51,0.02,525,1238968
2026-01-02 09:33:06,2359.91,0.48,0.02,587,1385267
2026-01-02 09:33:07,2359.90,0.47,0.02,571,1347503
2026-01-02 09:33:08,2359.91,0.48,0.02,586,1382907
2026-01-02 09:33:09,2359.89,0.46,0.02,579,1366376
2026-01-02 09:33:10,2359.88,0.45,0.02,548,1293214
2026-01-02 09:33:11,2359.85,0.42,0.02,539,1271959
2026-01-02 09:33:12,2359.87,0.44,0.02,579,1366365
2026-01-02 09:33:13,2359.86,0.43,0.02,571,1347480
2026-01-02 09:33:14,2359.88,0.45,0.02,537,1267256
2026-01-02 09:33:15,2359.84,0.41,0.02,551,1300272
2026-01-02 09:33:16,2359.86,0.43,0.02,591,1394677
2026-01-02 09:33:17,2359.84,0.41,0.02,572,1349828
2026-01-02 09:33:18,2359.86,0.43,0.02,570,1345120
2026-01-02 09:33:19,2359.85,0.42,0.02,563,1328596
2026-01-02 09:33:20,2359.81,0.38,0.02,544,1283737
2026-01-02 09:33:21,2359.82,0.39,0.02,573,1352177
2026-01-02 09:33:22,2359.83,0.40,0.02,533,1257789
2026-01-02 09:33:23,2359.81,0.38,0.02,599,1413526
2026-01-02 09:33:24,2359.87,0.44,0.02,521,1229492
2026-01-02 09:33:25,2359.89,0.46,0.02,592,1397055
2026-01-02 09:33:26,2359.90,0.47,0.02,556,1312104
2026-01-02 09:33:27,2359.83,0.40,0.02,539,1271948
2026-01-02 09:33:28,2359.86,0.43,0.02,557,1314442
2026-01-02 09:33:29,2359.85,0.42,0.02,581,1371073
2026-01-02 09:33:30,2359.82,0.39,0.02,558,1316780
2026-01-02 09:33:31,2359.86,0.43,0.02,567,1338041
2026-01-02 09:33:32,2359.87,0.44,0.02,499,1177575
2026-01-02 09:33:33,2359.86,0.43,0.02,543,1281404
2026-01-02 09:33:34,2359.82,0.39,0.02,517,1220027
2026-01-02 09:33:35,2359.84,0.41,0.02,564,1330950
2026-01-02 09:33:36,2359.80,0.37,0.02,517,1220017
2026-01-02 09:33:37,2359.83,0.40,0.02,545,1286107
2026-01-02 09:33:38,2359.78,0.35,0.01,524,1236525
2026-01-02 09:33:39,2359.73,0.30,0.01,532,1255376
2026-01-02 09:33:40,2359.72,0.29,0.01,582,1373357
2026-01-02 09:33:41,2359.71,0.28,0.01,530,1250646
2026-01-02 09:33:42,2359.70,0.27,0.01,541,1276598
2026-01-02 09:33:43,2359.74,0.31,0.01,533,1257741
2026-01-02 09:33:44,2359.67,0.24,0.01,554,1307257
2026-01-02 09:33:45,2359.65,0.22,0.01,525,1238816
2026-01-02 09:33:46,2359.64,0.21,0.01,545,1286004
2026-01-02 09:33:47,2359.65,0.22,0.01,528,1245895
2026-01-02 09:33:48,2359.67,0.24,0.01,523,1234107
2026-01-02 09:33:49,2359.68,0.25,0.01,530,1250630
2026-01-02 09:33:50,2359.63,0.20,0.01,525,1238806
2026-01-02 09:33:51,2359.65,0.22,0.01,572,1349720
2026-01-02 09:33:52,2359.66,0.23,0.01,523,1234102
2026-01-02 09:33:53,2359.74,0.31,0.01,556,1312015
2026-01-02 09:33:54,2359.81,0.38,0.02,561,1323853
2026-01-02 09:33:55,2359.80,0.37,0.02,575,1356885
2026-01-02 09:33:56,2359.83,0.40,0.02,521,1229471
2026-01-02 09:33:57,2359.80,0.37,0.02,518,1222376
2026-01-02 09:33:58,2359.81,0.38,0.02,568,1340372
2026-01-02 09:33:59,2359.86,0.43,0.02,564,1330961
2026-01-02 09:34:00,2359.83,0.40,0.02,538,1269589
2026-01-02 09:34:01,2359.84,0.41,0.02,557,1314431
2026-01-02 09:34:02,2359.83,0.40,0.02,502,1184635
2026-01-02 09:34:03,2359.80,0.37,0.02,502,1184620
2026-01-02 09:34:04,2359.78,0.35,0.01,495,1168091
2026-01-02 09:34:05,2359.74,0.31,0.01,535,1262461
2026-01-02 09:34:06,2359.79,0.36,0.02,554,1307324
2026-01-02 09:34:07,2359.75,0.32,0.01,571,1347417
2026-01-02 09:34:08,2359.74,0.31,0.01,540,1274260
2026-01-02 09:34:09,2359.72,0.29,0.01,490,1156263
2026-01-02 09:34:10,2359.66,0.23,0.01,550,1297813
2026-01-02 09:34:11,2359.58,0.15,0.01,513,1210465
2026-01-02 09:34:12,2359.60,0.17,0.01,510,1203396
2026-01-02 09:34:13,2359.58,0.15,0.01,521,1229341
2026-01-02 09:34:14,2359.60,0.17,0.01,549,1295420
2026-01-02 09:34:15,2359.57,0.14,0.01,575,1356753
2026-01-02 09:34:16,2359.54,0.11,0.00,576,1359095
2026-01-02 09:34:17,2359.47,0.04,0.00,532,1255238
2026-01-02 09:34:18,2359.46,0.03,0.00,486,1146698
2026-01-02 09:34:19,2359.51,0.08,0.00,580,1368516
2026-01-02 09:34:20,2359.57,0.14,0.01,565,1333157
2026-01-02 09:34:21,2359.59,0.16,0.01,522,1231706
2026-01-02 09:34:22,2359.64,0.21,0.01,547,1290723
2026-01-02 09:34:23,2359.62,0.19,0.01,561,1323747
2026-01-02 09:34:24,2359.65,0.22,0.01,580,1368597
2026-01-02 09:34:25,2359.73,0.30,0.01,563,1328528
2026-01-02 09:34:26,2359.72,0.29,0.01,531,1253011
2026-01-02 09:34:27,2359.70,0.27,0.01,568,1340310
2026-01-02 09:34:28,2359.69,0.26,0.01,559,1319067
2026-01-02 09:34:29,2359.71,0.28,0.01,546,1288402
2026-01-02 09:34:30,2359.72,0.29,0.01,527,1243572
2026-01-02 09:34:31,2359.71,0.28,0.01,512,1208172
2026-01-02 09:34:32,2359.64,0.21,0.01,606,1429942
2026-01-02 09:34:33,2359.63,0.20,0.01,526,1241165
2026-01-02 09:34:34,2359.59,0.16,0.01,516,1217548
2026-01-02 09:34:35,2359.57,0.14,0.01,548,1293044
2026-01-02 09:34:36,2359.62,0.19,0.01,516,1217564
2026-01-02 09:34:37,2359.63,0.20,0.01,565,1333191
2026-01-02 09:34:38,2359.61,0.18,0.01,526,1241155
2026-01-02 09:34:39,2359.64,0.21,0.01,501,1182180
2026-01-02 09:34:40,2359.71,0.28,0.01,547,1290761
2026-01-02 09:34:41,2359.74,0.31,0.01,562,1326174
2026-01-02 09:34:42,2359.75,0.32,0.01,596,1406411
2026-01-02 09:34:43,2359.74,0.31,0.01,536,1264821
2026-01-02 09:34:44,2359.75,0.32,0.01,526,1241228
2026-01-02 09:34:45,2359.74,0.31,0.01,558,1316735
2026-01-02 09:34:46,2359.71,0.28,0.01,585,1380430
2026-01-02 09:34:47,2359.67,0.24,0.01,595,1404004
2026-01-02 09:34:48,2359.68,0.25,0.01,560,1321421
2026-01-02 09:34:49,2359.67,0.24,0.01,523,1234107
2026-01-02 09:34:50,2359.76,0.33,0.01,512,1208197
2026-01-02 09:34:51,2359.78,0.35,0.01,549,1295519
2026-01-02 09:34:52,2359.75,0.32,0.01,532,1255387
2026-01-02 09:34:53,2359.76,0.33,0.01,505,1191679
2026-01-02 09:34:54,2359.78,0.35,0.01,573,1352154
2026-01-02 09:34:55,2359.84,0.41,0.02,525,1238916
2026-01-02 09:34:56,2359.83,0.40,0.02,520,1227112
2026-01-02 09:34:57,2359.86,0.43,0.02,545,1286124
