timestamp,price,change_amount,change_pct,volume,amount
2025-12-31 09:30:00,340.85,0.00,0.00,522,177924
2025-12-31 09:30:01,340.84,-0.01,-0.00,544,185417
2025-12-31 09:30:02,340.85,0.00,0.00,505,172129
2025-12-31 09:30:03,340.84,-0.01,-0.00,532,181327
2025-12-31 09:30:04,340.83,-0.02,-0.01,490,167007
2025-12-31 09:30:05,340.82,-0.03,-0.01,514,175181
2025-12-31 09:30:06,340.83,-0.02,-0.01,510,173823
2025-12-31 09:30:07,340.84,-0.01,-0.00,543,185076
2025-12-31 09:30:08,340.83,-0.02,-0.01,530,180640
2025-12-31 09:30:09,340.82,-0.03,-0.01,514,175181
2025-12-31 09:30:10,340.83,-0.02,-0.01,552,188138
2025-12-31 09:30:11,340.84,-0.01,-0.00,516,175873
2025-12-31 09:30:12,340.83,-0.02,-0.01,497,169393
2025-12-31 09:30:13,340.84,-0.01,-0.00,554,188825
2025-12-31 09:30:14,340.83,-0.02,-0.01,478,162917
2025-12-31 09:30:15,340.82,-0.03,-0.01,544,185406
2025-12-31 09:30:16,340.81,-0.04,-0.01,528,179948
2025-12-31 09:30:17,340.82,-0.03,-0.01,487,165979
2025-12-31 09:30:18,340.81,-0.04,-0.01,541,184378
2025-12-31 09:30:19,340.80,-0.05,-0.01,481,163925
2025-12-31 09:30:20,340.79,-0.06,-0.02,507,172781
2025-12-31 09:30:21,340.80,-0.05,-0.01,522,177898
2025-12-31 09:30:22,340.79,-0.06,-0.02,537,183004
2025-12-31 09:30:23,340.80,-0.05,-0.01,495,168696
2025-12-31 09:30:24,340.79,-0.06,-0.02,518,176529
2025-12-31 09:30:25,340.82,-0.03,-0.01,487,165979
2025-12-31 09:30:26,340.81,-0.04,-0.01,526,179266
2025-12-31 09:30:27,340.80,-0.05,-0.01,511,174149
2025-12-31 09:30:28,340.79,-0.06,-0.02,458,156082
2025-12-31 09:30:29,340.81,-0.04,-0.01,476,162226
2025-12-31 09:30:30,340.80,-0.05,-0.01,500,170400
2025-12-31 09:30:31,340.79,-0.06,-0.02,516,175848
2025-12-31 09:30:32,340.78,-0.07,-0.02,511,174139
2025-12-31 09:30:33,340.79,-0.06,-0.02,490,166987
2025-12-31 09:30:34,340.80,-0.05,-0.01,503,171422
2025-12-31 09:30:35,340.81,-0.04,-0.01,565,192558
2025-12-31 09:30:36,340.80,-0.05,-0.01,533,181646
2025-12-31 09:30:37,340.79,-0.06,-0.02,544,185390
2025-12-31 09:30:38,340.78,-0.07,-0.02,547,186407
2025-12-31 09:30:39,340.79,-0.06,-0.02,503,171417
2025-12-31 09:30:40,340.80,-0.05,-0.01,487,165970
2025-12-31 09:30:41,340.79,-0.06,-0.02,459,156423
2025-12-31 09:30:42,340.80,-0.05,-0.01,576,196301
2025-12-31 09:30:43,340.81,-0.04,-0.01,475,161885
2025-12-31 09:30:44,340.80,-0.05,-0.01,489,166651
2025-12-31 09:30:45,340.81,-0.04,-0.01,490,166997
2025-12-31 09:30:46,340.80,-0.05,-0.01,510,173808
2025-12-31 09:30:47,340.81,-0.04,-0.01,490,166997
2025-12-31 09:30:48,340.80,-0.05,-0.01,511,174149
2025-12-31 09:30:49,340.81,-0.04,-0.01,472,160862
2025-12-31 09:30:50,340.80,-0.05,-0.01,519,176875
2025-12-31 09:30:51,340.81,-0.04,-0.01,464,158136
2025-12-31 09:30:52,340.80,-0.05,-0.01,525,178920
2025-12-31 09:30:53,340.81,-0.04,-0.01,500,170405
2025-12-31 09:30:54,340.80,-0.05,-0.01,526,179261
2025-12-31 09:30:55,340.81,-0.04,-0.01,515,175517
2025-12-31 09:30:56,340.80,-0.05,-0.01,523,178238
2025-12-31 09:30:57,340.79,-0.06,-0.02,492,167669
2025-12-31 09:30:58,340.80,-0.05,-0.01,492,167674
2025-12-31 09:30:59,340.78,-0.07,-0.02,529,180273
2025-12-31 09:31:00,340.77,-0.08,-0.02,518,176519
2025-12-31 09:31:01,340.78,-0.07,-0.02,490,166982
2025-12-31 09:31:02,340.77,-0.08,-0.02,482,164251
2025-12-31 09:31:03,340.78,-0.07,-0.02,541,184362
2025-12-31 09:31:04,340.77,-0.08,-0.02,511,174133
2025-12-31 09:31:05,340.76,-0.09,-0.03,480,163565
2025-12-31 09:31:06,340.75,-0.10,-0.03,488,166286
2025-12-31 09:31:07,340.77,-0.08,-0.02,537,182993
2025-12-31 09:31:08,340.78,-0.07,-0.02,478,162893
2025-12-31 09:31:09,340.77,-0.08,-0.02,471,160503
2025-12-31 09:31:10,340.76,-0.09,-0.03,524,178558
2025-12-31 09:31:11,340.78,-0.07,-0.02,473,161189
2025-12-31 09:31:12,340.77,-0.08,-0.02,471,160503
2025-12-31 09:31:13,340.76,-0.09,-0.03,510,173788
2025-12-31 09:31:14,340.77,-0.08,-0.02,495,168681
2025-12-31 09:31:15,340.78,-0.07,-0.02,498,169708
2025-12-31 09:31:16,340.77,-0.08,-0.02,498,169703
2025-12-31 09:31:17,340.78,-0.07,-0.02,519,176865
2025-12-31 09:31:18,340.77,-0.08,-0.02,532,181290
2025-12-31 09:31:19,340.78,-0.07,-0.02,483,164597
2025-12-31 09:31:20,340.76,-0.09,-0.03,509,173447
2025-12-31 09:31:21,340.75,-0.10,-0.03,525,178894
2025-12-31 09:31:22,340.76,-0.09,-0.03,533,181625
2025-12-31 09:31:23,340.75,-0.10,-0.03,496,169012
2025-12-31 09:31:24,340.76,-0.09,-0.03,518,176514
2025-12-31 09:31:25,340.77,-0.08,-0.02,488,166296
2025-12-31 09:31:26,340.76,-0.09,-0.03,490,166972
2025-12-31 09:31:27,340.75,-0.10,-0.03,478,162878
2025-12-31 09:31:28,340.76,-0.09,-0.03,508,173106
2025-12-31 09:31:29,340.75,-0.10,-0.03,512,174464
2025-12-31 09:31:30,340.77,-0.08,-0.02,509,173452
2025-12-31 09:31:31,340.75,-0.10,-0.03,554,188776
2025-12-31 09:31:32,340.76,-0.09,-0.03,493,167995
2025-12-31 09:31:33,340.74,-0.11,-0.03,487,165940
2025-12-31 09:31:34,340.75,-0.10,-0.03,501,170716
2025-12-31 09:31:35,340.74,-0.11,-0.03,534,181955
2025-12-31 09:31:36,340.75,-0.10,-0.03,505,172079
2025-12-31 09:31:37,340.74,-0.11,-0.03,516,175822
2025-12-31 09:31:38,340.73,-0.12,-0.04,496,169002
2025-12-31 09:31:39,340.74,-0.11,-0.03,494,168326
2025-12-31 09:31:40,340.72,-0.13,-0.04,519,176834
2025-12-31 09:31:41,340.73,-0.12,-0.04,488,166276
2025-12-31 09:31:42,340.74,-0.11,-0.03,488,166281
2025-12-31 09:31:43,340.75,-0.10,-0.03,504,171738
2025-12-31 09:31:44,340.74,-0.11,-0.03,490,166963
2025-12-31 09:31:45,340.72,-0.13,-0.04,513,174789
2025-12-31 09:31:46,340.71,-0.14,-0.04,509,173421
2025-12-31 09:31:47,340.70,-0.15,-0.04,485,165240
2025-12-31 09:31:48,340.71,-0.14,-0.04,523,178191
2025-12-31 09:31:49,340.70,-0.15,-0.04,523,178186
2025-12-31 09:31:50,340.69,-0.16,-0.05,482,164213
2025-12-31 09:31:51,340.70,-0.15,-0.04,503,171372
