timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,53.57,0.00,0.00,270,14464
2026-01-02 09:30:01,53.56,-0.01,-0.02,317,16979
2026-01-02 09:30:02,53.57,0.00,0.00,261,13982
2026-01-02 09:30:03,53.56,-0.01,-0.02,286,15318
2026-01-02 09:30:04,53.57,0.00,0.00,255,13660
2026-01-02 09:30:05,53.58,0.01,0.02,312,16717
2026-01-02 09:30:06,53.57,0.00,0.00,283,15160
2026-01-02 09:30:07,53.56,-0.01,-0.02,269,14408
2026-01-02 09:30:08,53.57,0.00,0.00,266,14250
2026-01-02 09:30:09,53.58,0.01,0.02,304,16288
2026-01-02 09:30:10,53.57,0.00,0.00,273,14625
2026-01-02 09:30:11,53.58,0.01,0.02,278,14895
2026-01-02 09:30:12,53.57,0.00,0.00,256,13714
2026-01-02 09:30:13,53.58,0.01,0.02,278,14895
2026-01-02 09:30:14,53.57,0.00,0.00,280,15000
2026-01-02 09:30:15,53.58,0.01,0.02,246,13181
2026-01-02 09:30:16,53.57,0.00,0.00,263,14089
2026-01-02 09:30:17,53.58,0.01,0.02,288,15431
2026-01-02 09:30:18,53.57,0.00,0.00,274,14678
2026-01-02 09:30:19,53.56,-0.01,-0.02,250,13390
2026-01-02 09:30:20,53.57,0.00,0.00,253,13553
2026-01-02 09:30:21,53.58,0.01,0.02,292,15645
2026-01-02 09:30:22,53.57,0.00,0.00,272,14571
2026-01-02 09:30:23,53.58,0.01,0.02,278,14895
2026-01-02 09:30:24,53.57,0.00,0.00,264,14142
2026-01-02 09:30:25,53.58,0.01,0.02,283,15163
2026-01-02 09:30:26,53.57,0.00,0.00,285,15267
2026-01-02 09:30:27,53.56,-0.01,-0.02,271,14515
2026-01-02 09:30:28,53.57,0.00,0.00,247,13232
2026-01-02 09:30:29,53.58,0.01,0.02,282,15110
2026-01-02 09:30:30,53.57,0.00,0.00,287,15375
2026-01-02 09:30:31,53.56,-0.01,-0.02,273,14622
2026-01-02 09:30:32,53.57,0.00,0.00,284,15214
2026-01-02 09:30:33,53.58,0.01,0.02,271,14520
2026-01-02 09:30:34,53.57,0.00,0.00,321,17196
2026-01-02 09:30:35,53.58,0.01,0.02,271,14520
2026-01-02 09:30:36,53.57,0.00,0.00,266,14250
2026-01-02 09:30:37,53.56,-0.01,-0.02,266,14247
2026-01-02 09:30:38,53.57,0.00,0.00,314,16821
2026-01-02 09:30:39,53.56,-0.01,-0.02,279,14943
