date,open,close,high,low,volume,amount
2025-01-02,4.50,4.40,4.52,4.39,100000,445198
2025-01-03,4.40,4.38,4.45,4.32,7070153,31024571
2025-01-06,4.38,4.44,4.46,4.32,3557954,15656440
2025-01-07,4.44,4.54,4.58,4.43,10738018,48330827
2025-01-08,4.54,4.43,4.55,4.42,5753347,25802923
2025-01-09,4.43,4.42,4.43,4.39,3704281,16364203
2025-01-10,4.42,4.45,4.46,4.40,5281123,23417838
2025-01-13,4.45,4.47,4.54,4.42,4530403,20250424
2025-01-14,4.47,4.51,4.52,4.46,6755056,30333911
2025-01-15,4.51,4.66,4.70,4.45,4905931,22478327
2025-01-16,4.66,4.63,4.67,4.59,1714272,7946618
2025-01-17,4.63,4.57,4.68,4.55,2557579,11782679
2025-01-20,4.57,4.61,4.61,4.52,2603040,11920571
2025-01-21,4.61,4.48,4.69,4.44,5001844,22779023
2025-01-22,4.48,4.50,4.53,4.39,3551903,15893699
2025-01-23,4.50,4.68,4.74,4.45,5774268,26520970
2025-01-24,4.68,4.62,4.69,4.59,4796393,22291097
2025-01-27,4.62,4.63,4.66,4.53,6002903,27674894
2025-02-05,4.63,4.67,4.70,4.61,6886804,32035844
2025-02-06,4.67,4.65,4.68,4.64,11099866,51705221
2025-02-07,4.65,4.73,4.74,4.61,2564066,12013783
2025-02-10,4.73,4.76,4.80,4.63,2179758,10309874
2025-02-11,4.76,4.81,4.82,4.75,3991762,19091590
2025-02-12,4.81,4.89,5.00,4.77,6272606,30532467
2025-02-13,4.89,4.93,4.96,4.87,4160810,20439778
2025-02-14,4.93,4.83,4.94,4.75,6828586,33201548
2025-02-17,4.83,4.86,4.92,4.80,1509373,7323867
2025-02-18,4.86,4.86,4.89,4.83,4110363,19981641
2025-02-19,4.86,4.87,4.89,4.85,2512557,12234530
2025-02-20,4.87,4.99,5.06,4.85,5458086,26974880
2025-02-21,4.99,4.96,5.00,4.95,2361214,11754878
2025-02-24,4.96,4.97,5.00,4.90,8877967,44017849
2025-02-25,4.97,5.00,5.06,4.96,2222905,11105366
2025-02-26,5.00,4.86,5.04,4.86,2983666,14738232
2025-02-27,4.86,4.98,4.99,4.81,8919216,43793001
2025-02-28,4.98,5.04,5.08,4.97,7272514,36499152
2025-03-03,5.04,4.96,5.06,4.95,3885423,19446219
2025-03-04,4.96,4.80,4.97,4.74,8523538,41489241
2025-03-05,4.80,4.77,4.81,4.70,3848230,18352204
2025-03-06,4.77,4.96,5.04,4.68,6355086,30899701
2025-03-07,4.96,5.03,5.06,4.90,1679776,8375350
2025-03-10,5.03,5.00,5.06,4.94,3251186,16281458
2025-03-11,5.00,5.08,5.13,4.92,5321993,26781876
2025-03-12,5.08,5.15,5.15,5.06,3411032,17427351
2025-03-13,5.15,5.09,5.17,5.09,5307738,27200746
2025-03-14,5.09,5.24,5.25,5.01,3295482,16963766
2025-03-17,5.24,5.20,5.30,5.11,9293504,48435595
2025-03-18,5.20,5.13,5.20,5.07,5615130,28922683
2025-03-19,5.13,5.20,5.26,5.10,3096390,16010058
2025-03-20,5.20,5.12,5.21,5.08,2421796,12477057
2025-03-21,5.12,5.08,5.20,4.97,2668762,13596635
2025-03-24,5.08,5.07,5.09,5.02,6231948,31554378
2025-03-25,5.07,4.95,5.09,4.95,5676570,28469330
2025-03-26,4.95,4.98,5.02,4.88,5109681,25331178
2025-03-27,4.98,5.11,5.13,4.97,1948352,9830820
2025-03-28,5.11,5.21,5.27,5.07,2718381,14033402
2025-03-31,5.21,5.24,5.25,5.13,5567146,28994130
2025-04-01,5.24,5.21,5.24,5.19,2222801,11603551
2025-04-02,5.21,5.23,5.25,5.13,3378971,17586794
2025-04-03,5.23,5.39,5.46,5.18,2944020,15639380
2025-04-08,5.39,5.38,5.39,5.34,2427133,13050070
2025-04-09,5.38,5.60,5.63,5.35,5322502,29219589
2025-04-10,5.60,5.49,5.62,5.43,4233292,23427012
2025-04-11,5.49,5.55,5.55,5.47,2384739,13155805
2025-04-14,5.55,5.68,5.76,5.53,4899446,27569524
2025-04-15,5.68,5.81,5.86,5.66,6149062,35357255
2025-04-16,5.81,5.85,5.89,5.78,3039076,17726062
2025-04-17,5.85,5.82,5.85,5.80,2498987,14563914
2025-04-18,5.82,5.71,5.84,5.67,3308402,19060845
2025-04-21,5.71,5.74,5.78,5.70,2933866,16825457
2025-04-22,5.74,5.61,5.80,5.52,2728393,15458456
2025-04-23,5.61,5.56,5.62,5.52,4619381,25761826
2025-04-24,5.56,5.54,5.58,5.54,6459480,35871257
2025-04-25,5.54,5.44,5.59,5.43,5713897,31411355
2025-04-28,5.44,5.51,5.53,5.42,6671096,36517669
2025-04-29,5.51,5.49,5.54,5.49,4721248,26009923
2025-04-30,5.49,5.52,5.62,5.49,4210508,23284247
2025-05-06,5.52,5.52,5.52,5.51,4592549,25335539
2025-05-07,5.52,5.45,5.56,5.39,4674594,25603431
2025-05-08,5.45,5.36,5.46,5.34,3384804,18288725
2025-05-09,5.36,5.48,5.49,5.29,3066964,16575907
2025-05-12,5.48,5.45,5.48,5.32,1060651,5763605
2025-05-13,5.45,5.46,5.47,5.43,2112546,11513914
2025-05-14,5.46,5.44,5.48,5.44,6234262,34004863
2025-05-15,5.44,5.55,5.56,5.35,2090541,11443891
2025-05-16,5.55,5.67,5.70,5.52,1164871,6532999
2025-05-19,5.67,5.54,5.72,5.50,4081089,22875348
2025-05-20,5.54,5.66,5.68,5.52,2646127,14816280
2025-05-21,5.66,5.65,5.75,5.61,1666039,9437345
2025-05-22,5.65,5.70,5.77,5.53,4319298,24460222
2025-05-23,5.70,5.73,5.77,5.68,5554539,31781236
2025-05-26,5.73,5.74,5.77,5.70,4446746,25503171
2025-05-27,5.74,5.72,5.81,5.72,3236638,18603625
2025-05-28,5.72,5.75,5.80,5.69,7010801,40249479
2025-05-29,5.75,5.61,5.85,5.59,5485309,31266623
2025-05-30,5.61,5.60,5.63,5.59,5782216,32424003
2025-06-03,5.60,5.30,5.70,5.22,4281711,23361933
2025-06-04,5.30,5.20,5.32,5.12,2705910,14170266
2025-06-05,5.20,5.17,5.27,5.11,6048487,31384266
2025-06-06,5.17,5.10,5.19,5.09,5146905,26428287
2025-06-09,5.10,5.07,5.13,5.05,4037911,20534341
2025-06-10,5.07,4.93,5.08,4.89,2176573,10864618
2025-06-11,4.93,4.87,4.94,4.80,10913448,53300294
2025-06-12,4.87,4.94,4.95,4.83,2347635,11498603
2025-06-13,4.94,4.93,5.02,4.92,1209763,5992846
2025-06-16,4.93,4.87,5.00,4.83,405416,1989633
2025-06-17,4.87,4.98,4.98,4.85,1322356,6508830
2025-06-18,4.98,5.05,5.11,4.93,4821583,24187585
2025-06-19,5.05,5.01,5.08,4.97,6200118,31172339
2025-06-20,5.01,5.01,5.03,4.96,3007069,15044091
2025-06-23,5.01,4.94,5.06,4.91,6857527,34154939
2025-06-24,4.94,4.91,4.99,4.88,4413531,21751354
2025-06-25,4.91,4.89,4.96,4.89,3791134,18621610
2025-06-26,4.89,4.95,4.96,4.86,3412173,16762238
2025-06-27,4.95,4.90,4.97,4.85,5920494,29098708
2025-06-30,4.90,4.92,4.95,4.87,5088004,24984783
2025-07-01,4.92,4.97,5.02,4.92,2823913,13991884
2025-07-02,4.97,5.02,5.07,4.94,1964178,9818217
2025-07-03,5.02,5.05,5.22,5.02,2996096,15212057
2025-07-04,5.05,5.09,5.12,5.05,4291445,21790872
2025-07-07,5.09,5.06,5.11,4.98,6157714,31164491
2025-07-08,5.06,5.11,5.18,5.03,4315481,21988594
2025-07-09,5.11,5.13,5.22,5.10,797077,4097869
2025-07-10,5.13,5.15,5.17,5.10,4932341,25335342
2025-07-11,5.15,5.19,5.19,5.13,3267497,16864599
2025-07-14,5.19,5.20,5.21,5.17,3299209,17129914
2025-07-15,5.20,5.09,5.31,5.04,4546194,23455623
2025-07-16,5.09,5.15,5.17,5.06,2776102,14207867
2025-07-17,5.15,5.13,5.19,5.08,1409994,7245373
2025-07-18,5.13,5.09,5.19,5.08,6812643,34887997
2025-07-21,5.09,5.00,5.15,4.95,8430498,42561654
2025-07-22,5.00,4.92,5.04,4.88,6187091,30691950
