date,open,close,high,low,volume,amount
2025-01-02,130.00,130.78,131.29,129.78,6359312,829649072
2025-01-03,130.78,133.90,135.26,130.34,100000,13257044
2025-01-06,133.90,131.80,134.67,129.24,1281309,169648317
2025-01-07,131.80,139.91,140.99,130.27,5767261,782872006
2025-01-08,139.91,137.55,142.14,136.65,6777269,942471532
2025-01-09,137.55,138.78,140.91,134.40,3478667,479743157
2025-01-10,138.78,138.41,138.97,136.71,5338649,737895034
2025-01-13,138.41,138.23,140.25,137.66,4384411,607847586
2025-01-14,138.23,135.64,139.04,132.37,8689559,1184554259
2025-01-15,135.64,132.51,135.96,132.23,1552662,208189032
2025-01-16,132.51,134.38,134.44,131.49,5146036,685478805
2025-01-17,134.38,133.45,134.73,133.32,5428414,727237718
2025-01-20,133.45,135.43,136.13,133.03,4999993,672546995
2025-01-21,135.43,135.91,136.08,133.87,10480835,1418329276
2025-01-22,135.91,139.44,143.44,135.61,5173486,717046471
2025-01-23,139.44,140.15,140.75,138.66,4812491,672534742
2025-01-24,140.15,139.89,141.89,136.67,1630638,227716244
2025-01-27,139.89,136.89,140.18,136.70,7639014,1057333970
2025-02-05,136.89,134.68,138.26,133.67,2344658,318585080
2025-02-06,134.68,136.42,136.66,133.83,6265861,848388724
2025-02-07,136.42,135.57,137.94,134.55,7044534,958916896
2025-02-10,135.57,135.17,136.48,135.07,6006976,814375858
2025-02-11,135.17,127.95,136.68,127.03,1315151,173211748
2025-02-12,127.95,130.47,130.71,127.66,6996219,903886836
2025-02-13,130.47,131.19,131.67,128.67,7695971,1004304701
2025-02-14,131.19,128.18,132.83,126.71,5239602,679713824
2025-02-17,128.18,129.34,130.14,127.33,1781571,229370055
2025-02-18,129.34,132.74,134.28,128.45,9206664,1207914676
2025-02-19,132.74,127.76,133.60,127.20,2469213,321794821
2025-02-20,127.76,128.48,129.93,127.55,7576555,973055360
2025-02-21,128.48,128.52,129.43,126.85,4702477,603421884
2025-02-24,128.52,127.99,129.18,127.96,8896023,1142339789
2025-02-25,127.99,128.48,129.42,127.75,8964778,1151184875
2025-02-26,128.48,127.60,128.65,125.76,4183684,533930534
2025-02-27,127.60,126.53,129.83,126.32,7415924,946042244
2025-02-28,126.53,126.39,128.15,124.81,4921633,622437431
2025-03-03,126.39,128.88,131.29,125.15,4174876,534084713
2025-03-04,128.88,127.83,129.38,126.20,7500436,960601120
2025-03-05,127.83,128.85,129.56,126.60,2442416,313139138
2025-03-06,128.85,126.25,130.32,126.20,8186581,1047117419
2025-03-07,126.25,127.03,128.00,126.03,2024892,256814690
2025-03-10,127.03,128.38,129.13,125.86,3739611,477175990
2025-03-11,128.38,126.78,128.75,126.05,1792724,228551938
2025-03-12,126.78,128.07,129.49,125.55,5519751,703620078
2025-03-13,128.07,126.17,128.49,125.13,5637701,715795448
2025-03-14,126.17,124.89,127.24,123.67,9978953,1252308954
2025-03-17,124.89,126.28,126.46,123.08,8356200,1046024187
2025-03-18,126.28,125.30,126.90,124.20,4609449,579266760
2025-03-19,125.30,124.04,126.51,123.94,3497738,437031393
2025-03-20,124.04,126.96,129.20,122.71,7855965,987708683
2025-03-21,126.96,124.74,127.79,123.85,5560669,699721270
2025-03-24,124.74,125.20,125.50,122.77,3789922,472041347
2025-03-25,125.20,122.55,125.77,121.93,7515890,930960419
2025-03-26,122.55,121.65,125.05,120.65,2857614,349986767
