date,open,close,high,low,volume,amount
2025-01-02,280.00,279.40,280.74,277.72,941554,263132824
2025-01-03,279.40,278.02,280.18,274.34,4818334,1339427198
2025-01-06,278.02,276.73,283.24,271.58,3169397,879166543
2025-01-07,276.73,274.45,277.80,272.70,2745661,756214246
2025-01-08,274.45,277.06,277.44,270.71,4418947,1214823702
2025-01-09,277.06,280.42,280.73,272.07,5931327,1646367465
2025-01-10,280.42,278.12,280.90,274.83,4161075,1159142288
2025-01-13,278.12,283.77,286.53,273.76,4074903,1143188931
2025-01-14,283.77,291.27,295.79,277.57,6013369,1726444934
2025-01-15,291.27,290.67,294.04,285.72,7355709,2136280058
2025-01-16,290.67,294.23,297.25,289.07,2775389,812650528
2025-01-17,294.23,292.04,296.71,288.47,388202,113689626
2025-01-20,292.04,287.50,297.41,282.25,3247457,941109579
2025-01-21,287.50,275.59,289.97,272.61,6146496,1729743123
2025-01-22,275.59,280.15,281.39,274.63,2406263,668800032
2025-01-23,280.15,278.51,284.26,278.00,12306016,3448504547
2025-01-24,278.51,277.35,279.47,274.52,7692085,2134250557
2025-01-27,277.35,278.15,278.18,271.42,10266590,2836379917
2025-02-05,278.15,271.57,278.23,269.13,1707625,468348132
2025-02-06,271.57,273.21,277.73,267.74,3480651,948692907
2025-02-07,273.21,281.59,283.51,270.94,3628907,1006333970
2025-02-10,281.59,288.30,293.62,281.38,6619105,1894536581
2025-02-11,288.30,292.33,295.55,286.23,3123643,907743375
2025-02-12,292.33,302.49,306.29,288.84,3548060,1055507518
2025-02-13,302.49,309.08,310.35,298.87,1013176,309216719
2025-02-14,309.08,309.29,312.03,308.21,3413143,1056881172
2025-02-17,309.29,307.35,316.05,305.15,2746259,849854383
2025-02-18,307.35,314.77,319.15,305.02,6083557,1895470618
2025-02-19,314.77,317.71,321.78,314.62,3423017,1085857120
2025-02-20,317.71,321.15,322.84,315.58,7910121,2525883796
2025-02-21,321.15,321.69,323.04,317.26,3181873,1020694848
2025-02-24,321.69,329.29,336.03,321.01,4467439,1460864806
2025-02-25,329.29,329.49,336.93,326.71,3801784,1256885296
2025-02-26,329.49,322.27,330.07,321.86,6389518,2082489605
2025-02-27,322.27,315.57,326.88,314.38,3753587,1200308155
2025-02-28,315.57,315.82,318.95,311.78,3795859,1197706550
2025-03-03,315.82,313.63,317.43,312.95,5922582,1865365760
2025-03-04,313.63,306.49,318.10,302.49,5739507,1780282803
2025-03-05,306.49,307.95,315.32,300.94,7954407,2447369368
2025-03-06,307.95,314.20,318.24,303.40,5578562,1734626468
2025-03-07,314.20,312.96,315.19,312.20,7368644,2311081945
2025-03-10,312.96,315.24,315.42,305.88,6866776,2144996061
2025-03-11,315.24,323.70,327.95,308.31,7500845,2391256082
2025-03-12,323.70,316.22,324.06,315.88,3298787,1055492882
2025-03-13,316.22,311.90,317.66,309.17,1851692,580943476
2025-03-14,311.90,310.60,313.93,304.65,5481552,1700772185
2025-03-17,310.60,320.44,328.58,307.50,1628558,515893252
2025-03-18,320.44,325.41,325.49,319.72,4310560,1391299507
2025-03-19,325.41,319.79,328.81,317.85,4390767,1418066198
2025-03-20,319.79,317.87,323.79,313.40,4488291,1430467988
2025-03-21,317.87,316.77,320.92,315.21,4181906,1328565087
2025-03-24,316.77,314.59,320.59,312.56,3999242,1264272807
2025-03-25,314.59,321.72,323.91,314.26,6661531,2122504433
2025-03-26,321.72,321.27,329.45,316.83,3756386,1210751288
2025-03-27,321.27,316.05,321.32,313.22,3944265,1254146492
2025-03-28,316.05,325.06,330.50,314.26,5719854,1838740576
