date,open,close,high,low,volume,amount
2025-01-02,250.00,254.83,258.43,249.83,3834199,971101416
2025-01-03,254.83,254.40,260.08,251.24,3062674,781404810
2025-01-06,254.40,257.40,259.11,247.94,5430358,1383193761
2025-01-07,257.40,262.61,265.36,256.44,5195803,1353265511
2025-01-08,262.61,253.34,264.99,252.37,1476042,381303424
2025-01-09,253.34,252.84,256.17,251.78,4080471,1034523309
2025-01-10,252.84,255.73,257.83,251.23,4267862,1085768561
2025-01-13,255.73,251.79,257.55,248.55,4698065,1190511186
2025-01-14,251.79,257.52,262.39,249.49,1804669,460725561
2025-01-15,257.52,261.26,264.08,256.50,4763779,1237821021
2025-01-16,261.26,264.78,272.77,256.65,4004538,1056655128
2025-01-17,264.78,268.97,269.82,260.99,6488974,1726986117
2025-01-20,268.97,267.83,276.58,267.54,6961046,1881061359
2025-01-21,267.83,269.58,273.17,266.88,6534747,1760223462
2025-01-22,269.58,263.25,274.25,261.05,5549450,1481883067
2025-01-23,263.25,272.88,276.24,261.35,3020715,810851477
2025-01-24,272.88,260.59,278.78,258.87,5103598,1366643975
2025-01-27,260.59,268.64,269.16,260.02,1809424,478779340
2025-02-05,268.64,268.30,269.51,263.12,4502501,1203941662
2025-02-06,268.30,275.22,277.07,267.57,5231414,1423154839
2025-02-07,275.22,288.26,289.62,271.58,4542707,1277259327
2025-02-10,288.26,285.07,289.14,284.96,5860811,1681209920
2025-02-11,285.07,280.67,290.15,278.49,3525151,999718742
2025-02-12,280.67,278.78,283.39,277.11,4832435,1353013556
2025-02-13,278.78,274.36,280.11,272.72,2756865,762250589
2025-02-14,274.36,285.36,289.91,268.75,2427801,678793228
2025-02-17,285.36,294.29,298.17,282.77,8483310,2461403790
2025-02-18,294.29,296.83,298.05,288.17,3512503,1033859555
2025-02-19,296.83,297.71,305.06,290.08,9404229,2797030541
2025-02-20,297.71,290.20,301.82,287.43,5286589,1555797127
2025-02-21,290.20,295.19,296.16,290.02,4886624,1431261990
2025-02-24,295.19,294.71,299.37,292.22,5128422,1514791607
2025-02-25,294.71,298.95,299.75,293.28,8096729,2402076444
2025-02-26,298.95,303.84,308.78,294.86,2295994,692491959
2025-02-27,303.84,293.47,304.03,290.75,3068912,914602411
2025-02-28,293.47,293.51,297.48,291.27,5284573,1553292464
2025-03-03,293.51,288.70,293.73,288.18,4162580,1211435009
2025-03-04,288.70,292.26,294.30,283.95,2124057,615551168
2025-03-05,292.26,304.66,306.54,291.91,3724138,1112921148
2025-03-06,304.66,298.07,305.22,295.95,5905928,1777537991
2025-03-07,298.07,297.54,304.23,294.60,2125543,634711622
2025-03-10,297.54,294.02,304.93,290.77,5334523,1583375683
2025-03-11,294.02,298.85,300.76,293.78,2970372,881759962
2025-03-12,298.85,294.47,300.01,292.15,5163911,1530430723
2025-03-13,294.47,299.00,306.20,288.97,3812045,1132776323
2025-03-14,299.00,304.72,305.41,297.82,5395278,1627955746
2025-03-17,304.72,305.09,305.96,303.84,1919568,585278138
2025-03-18,305.09,310.61,313.26,301.34,2745345,844404993
2025-03-19,310.61,301.52,310.69,293.30,4756431,1446092696
2025-03-20,301.52,297.34,302.95,294.67,979955,293124019
2025-03-21,297.34,301.38,302.66,294.99,4786168,1431498453
2025-03-24,301.38,295.60,303.47,294.56,5526434,1651027339
2025-03-25,295.60,294.46,296.09,291.18,4046032,1190884595
2025-03-26,294.46,298.02,299.55,291.11,7151171,2115213542
2025-03-27,298.02,305.60,313.66,296.07,7411394,2248149672
2025-03-28,305.60,304.40,310.06,303.67,3259959,997324156
2025-03-31,304.40,296.92,308.76,291.42,4917506,1477089461
2025-04-01,296.92,295.47,302.97,295.15,2072608,616867203
2025-04-02,295.47,290.94,298.95,288.09,3803442,1115791366
2025-04-03,290.94,286.95,291.28,281.00,7594117,2183632171
2025-04-08,286.95,284.91,291.69,283.45,3835746,1099899751
2025-04-09,284.91,286.09,294.55,280.17,3956190,1133165164
2025-04-10,286.09,285.10,289.90,279.57,6435200,1835082515
2025-04-11,285.10,283.44,285.37,281.32,9962512,2827427769
2025-04-14,283.44,280.57,286.11,276.20,2497067,703124589
2025-04-15,280.57,283.34,284.31,280.12,3503834,988380154
2025-04-16,283.34,271.26,285.44,268.82,1135955,314901925
2025-04-17,271.26,274.66,276.09,263.03,3700728,1003852855
2025-04-18,274.66,276.15,277.79,274.65,5956522,1642879604
2025-04-21,276.15,260.94,278.80,260.29,3054327,821753206
2025-04-22,260.94,257.02,264.20,255.79,3307347,858219040
2025-04-23,257.02,258.87,263.48,255.53,5097331,1318801643
2025-04-24,258.87,265.76,268.21,257.04,1968331,516626017
2025-04-25,265.76,273.02,278.92,264.40,5733302,1551011782
2025-04-28,273.02,264.24,273.82,263.45,9783863,2628267626
2025-04-29,264.24,260.65,266.64,257.33,6080531,1594395908
2025-04-30,260.65,254.24,262.44,251.83,2327532,598855242
2025-05-06,254.24,257.24,260.65,252.38,5745881,1471668122
2025-05-07,257.24,265.53,267.98,250.93,5134981,1337245807
2025-05-08,265.53,262.92,268.54,258.90,2267912,598665588
2025-05-09,262.92,260.36,265.48,256.72,7232559,1890379969
2025-05-12,260.36,250.18,267.16,249.08,4031555,1034876625
2025-05-13,250.18,250.00,253.93,243.00,7771899,1937355782
2025-05-14,250.00,254.00,261.55,248.97,6298926,1597600947
2025-05-15,254.00,256.12,261.54,251.39,5748522,1470258122
2025-05-16,256.12,251.65,262.32,247.67,2163773,550545265
2025-05-19,251.65,247.99,256.27,243.37,1919219,479454726
2025-05-20,247.99,239.75,250.67,239.58,1230417,300829326
2025-05-21,239.75,248.04,251.50,237.60,5084458,1241741439
2025-05-22,248.04,249.00,249.04,247.16,2073056,514757381
2025-05-23,249.00,253.48,256.93,248.88,6206016,1564359307
2025-05-26,253.48,260.44,260.93,250.00,8925357,2286783208
2025-05-27,260.44,271.63,275.02,256.13,3062152,813930647
2025-05-28,271.63,278.89,279.38,270.47,10530232,2896808163
2025-05-29,278.89,274.15,280.26,273.47,2134098,590489290
2025-05-30,274.15,271.61,276.18,270.28,3066349,837281754
2025-06-03,271.61,267.15,273.48,265.46,4430001,1193548882
2025-06-04,267.15,268.43,269.45,262.52,5777780,1542005760
2025-06-05,268.43,269.66,274.15,262.12,3707390,995773718
2025-06-06,269.66,256.57,271.43,250.14,4326425,1133317949
2025-06-09,256.57,258.35,258.65,251.38,7348944,1883076167
2025-06-10,258.35,252.41,260.98,248.16,1652198,421270300
2025-06-11,252.41,261.26,264.71,249.77,5923089,1522452729
2025-06-12,261.26,261.66,263.17,253.22,8229188,2138134809
2025-06-13,261.66,262.98,266.57,254.64,6303303,1648075624
2025-06-16,262.98,252.79,268.77,251.09,5920151,1532770235
2025-06-17,252.79,239.28,255.75,238.00,3104821,765198918
2025-06-18,239.28,244.26,244.86,238.31,3291491,795476646
2025-06-19,244.26,254.84,255.22,239.74,8968697,2228854544
2025-06-20,254.84,257.35,261.28,253.51,4413831,1133228955
2025-06-23,257.35,254.11,259.96,251.14,5691450,1454954673
2025-06-24,254.11,256.66,259.08,253.46,2062937,527752390
