date,open,close,high,low,volume,amount
2025-01-02,1450.00,1469.20,1472.54,1445.74,5222352,7621350169
2025-01-03,1469.20,1479.98,1494.39,1456.07,4605022,6791993181
2025-01-06,1479.98,1449.60,1488.10,1447.02,6246801,9158914703
2025-01-07,1449.60,1474.98,1490.47,1445.28,7356717,10778176249
2025-01-08,1474.98,1498.02,1514.73,1469.37,7927722,11806532328
2025-01-09,1498.02,1505.28,1522.85,1480.61,2255794,3387504055
2025-01-10,1505.28,1492.01,1509.80,1473.12,2173120,3248934210
2025-01-13,1492.01,1500.68,1518.30,1480.86,3226110,4832595103
2025-01-14,1500.68,1502.70,1524.05,1498.54,8194146,12344432382
2025-01-15,1502.70,1484.79,1517.56,1483.32,6947122,10400467931
2025-01-16,1484.79,1482.99,1495.20,1479.74,4262773,6333108266
2025-01-17,1482.99,1523.38,1526.63,1467.83,4278199,6418186547
2025-01-20,1523.38,1521.52,1525.38,1514.49,2895795,4405072161
2025-01-21,1521.52,1537.05,1553.11,1518.71,1995618,3058481916
2025-01-22,1537.05,1548.13,1551.97,1524.07,4892310,7535642679
2025-01-23,1548.13,1552.47,1567.24,1528.64,5717472,8857032139
2025-01-24,1552.47,1557.93,1576.83,1546.14,3711530,5783830110
2025-01-27,1557.93,1559.54,1585.93,1556.57,7897495,12359526678
2025-02-05,1559.54,1566.41,1568.26,1550.62,6887122,10752221353
2025-02-06,1566.41,1584.86,1597.03,1564.71,3274607,5168149200
2025-02-07,1584.86,1550.36,1603.92,1543.85,3413632,5361950283
2025-02-10,1550.36,1591.25,1605.27,1547.13,5143498,8093299063
2025-02-11,1591.25,1547.90,1608.49,1543.09,4857607,7639468475
2025-02-12,1547.90,1568.73,1576.84,1533.29,3580570,5573843413
2025-02-13,1568.73,1601.67,1612.79,1554.97,11953094,18940157737
2025-02-14,1601.67,1606.81,1632.42,1582.35,2520000,4046646827
2025-02-17,1606.81,1638.51,1643.30,1591.72,10794395,17487818648
2025-02-18,1638.51,1649.11,1670.41,1624.54,3600940,5925854648
2025-02-19,1649.11,1601.82,1658.94,1576.58,5895735,9560590546
2025-02-20,1601.82,1603.68,1625.22,1583.04,5693250,9128781300
2025-02-21,1603.68,1578.12,1617.83,1573.11,5448115,8679859238
2025-02-24,1578.12,1564.25,1587.17,1547.74,9625965,15106213676
2025-02-25,1564.25,1575.85,1595.67,1559.42,5192965,8172670131
