date,open,close,high,low,volume,amount
2025-01-02,200.00,201.51,201.81,194.80,4782734,954302060
2025-01-03,201.51,205.58,207.75,199.20,10636760,2164701970
2025-01-06,205.58,206.82,210.57,205.50,11100430,2299126084
2025-01-07,206.82,212.99,213.08,204.12,5729001,1198809779
2025-01-08,212.99,213.46,213.48,211.94,2736230,582729547
2025-01-09,213.46,215.24,216.21,212.86,4638713,994733252
2025-01-10,215.24,204.96,216.90,204.07,5914798,1243839315
2025-01-13,204.96,212.91,217.31,203.58,5352223,1122300949
2025-01-14,212.91,211.14,214.24,209.01,8423921,1784382505
2025-01-15,211.14,213.31,213.67,209.87,4146708,879088332
2025-01-16,213.31,221.69,224.02,212.54,2622903,571503605
2025-01-17,221.69,220.19,221.97,218.27,11357476,2504690959
2025-01-20,220.19,215.98,221.65,214.85,3558751,776401121
2025-01-21,215.98,219.15,219.88,215.45,8147801,1773070317
2025-01-22,219.15,219.06,222.10,216.36,3989431,874353648
2025-01-23,219.06,223.01,224.86,219.06,8292247,1836709411
2025-01-24,223.01,219.46,224.08,216.34,3812739,841548073
2025-01-27,219.46,223.67,224.95,218.38,3169301,702364535
2025-02-05,223.67,227.50,228.69,219.96,5313941,1195403067
2025-02-06,227.50,227.44,228.85,226.57,3645146,829593555
2025-02-07,227.44,227.21,229.11,225.78,4212433,957839194
2025-02-10,227.21,232.65,234.54,226.05,7094675,1632560012
2025-02-11,232.65,233.67,235.59,231.34,4786847,1116827313
2025-02-12,233.67,231.65,236.50,227.12,2207626,512685566
2025-02-13,231.65,228.23,232.51,227.24,4567612,1050126554
2025-02-14,228.23,224.73,230.29,222.20,4933914,1116858006
2025-02-17,224.73,223.83,228.44,222.07,4204957,945146181
2025-02-18,223.83,220.30,224.00,219.78,2124906,471678636
2025-02-19,220.30,222.91,226.56,220.12,7639755,1699641176
2025-02-20,222.91,228.50,230.10,222.89,3499403,791216784
2025-02-21,228.50,230.34,233.90,228.41,6007490,1383449056
2025-02-24,230.34,224.93,232.58,222.99,4070139,926800705
2025-02-25,224.93,224.06,227.70,220.63,3219000,722110158
2025-02-26,224.06,220.03,225.44,217.67,4754774,1054609450
2025-02-27,220.03,225.25,225.81,218.07,5188133,1153276227
2025-02-28,225.25,222.62,225.31,222.61,3316672,742760240
2025-03-03,222.62,225.16,225.71,218.81,1653117,368770695
2025-03-04,225.16,224.95,227.96,224.67,2804932,633032999
2025-03-05,224.95,226.44,227.69,223.11,5047387,1138424879
2025-03-06,226.44,233.90,236.47,225.21,8394610,1934980404
2025-03-07,233.90,237.45,241.72,233.40,2890466,683933883
2025-03-10,237.45,235.54,237.52,234.91,1436954,339634727
2025-03-11,235.54,234.45,238.89,233.94,3177801,749025139
2025-03-12,234.45,234.24,235.89,234.00,2365959,555162746
2025-03-13,234.24,241.08,243.91,233.22,240522,57271174
2025-03-14,241.08,240.04,242.44,238.44,752483,180972161
2025-03-17,240.04,240.62,241.47,239.40,3311293,795976273
2025-03-18,240.62,242.32,243.45,236.63,2156512,519190345
2025-03-19,242.32,248.56,249.14,242.28,4714753,1157821702
2025-03-20,248.56,247.28,250.17,243.41,6446313,1594522760
2025-03-21,247.28,254.37,256.71,242.47,4965264,1242353722
2025-03-24,254.37,255.37,256.65,252.08,4554156,1159576532
2025-03-25,255.37,250.03,258.33,249.58,1855871,470144707
2025-03-26,250.03,254.10,254.99,246.08,4366593,1097332607
2025-03-27,254.10,255.08,256.39,250.24,2703932,686668192
2025-03-28,255.08,249.04,255.21,248.16,4481248,1128688206
2025-03-31,249.04,244.03,250.33,242.29,827427,203896719
2025-04-01,244.03,245.07,246.14,242.90,4420921,1081063148
2025-04-02,245.07,235.90,249.04,231.77,3047417,732738811
2025-04-03,235.90,233.09,237.08,232.07,1742176,408599585
2025-04-08,233.09,233.59,235.68,231.93,2367411,552964989
2025-04-09,233.59,231.57,236.52,230.68,2201361,513116482
2025-04-10,231.57,235.09,235.66,229.12,8746815,2036770465
2025-04-11,235.09,232.98,236.73,232.09,5688488,1332370348
2025-04-14,232.98,231.14,235.64,229.38,6302355,1463932487
2025-04-15,231.14,235.36,235.72,230.80,1258052,293447860
2025-04-16,235.36,238.52,239.01,235.09,5880087,1393551999
2025-04-17,238.52,239.59,242.09,235.50,2572247,614573832
2025-04-18,239.59,233.95,241.10,232.98,6156128,1458425112
2025-04-21,233.95,235.26,236.69,233.68,9155933,2150671158
2025-04-22,235.26,232.73,236.18,230.97,6974815,1630589733
2025-04-23,232.73,230.38,233.34,230.17,10244907,2373295633
2025-04-24,230.38,232.55,235.35,227.57,11646971,2695855280
2025-04-25,232.55,232.76,232.91,228.63,4767253,1104628253
2025-04-28,232.76,232.52,237.19,228.32,3691698,859036930
2025-04-29,232.52,237.24,238.39,229.98,3537252,829598577
2025-04-30,237.24,242.25,245.56,236.57,3011530,723983679
2025-05-06,242.25,244.44,248.26,237.68,9030505,2195828609
2025-05-07,244.44,244.69,248.25,241.99,1680995,411580136
2025-05-08,244.69,244.41,245.48,243.38,1632740,399188266
2025-05-09,244.41,243.27,245.18,239.31,1524460,370505098
2025-05-12,243.27,243.21,245.93,241.06,5214865,1269114291
2025-05-13,243.21,241.53,246.35,240.36,2954665,717578112
2025-05-14,241.53,254.20,254.78,239.84,4104722,1016275301
2025-05-15,254.20,253.43,255.61,252.38,2711737,688525199
2025-05-16,253.43,248.29,253.76,247.65,4600227,1153654317
2025-05-19,248.29,245.76,249.05,244.52,1874711,462875602
2025-05-20,245.76,250.33,252.39,243.74,2534550,628710398
2025-05-21,250.33,253.03,253.47,247.24,6435251,1615377643
2025-05-22,253.03,247.74,253.36,244.51,3609948,901265668
2025-05-23,247.74,247.67,249.69,247.06,6766884,1678480233
2025-05-26,247.67,248.20,248.96,246.73,11007597,2728697511
2025-05-27,248.20,242.63,249.03,240.00,4575867,1120931669
2025-05-28,242.63,242.76,244.21,240.16,1850798,448709643
2025-05-29,242.76,244.24,246.72,241.82,6442141,1571123743
2025-05-30,244.24,245.10,246.84,242.95,3548827,868687932
2025-06-03,245.10,252.02,256.90,244.64,2714549,677730315
2025-06-04,252.02,249.28,255.84,247.43,4690014,1177856844
2025-06-05,249.28,247.78,253.04,245.51,1862882,463677612
2025-06-06,247.78,244.19,249.97,241.70,2141225,526555416
2025-06-09,244.19,244.26,246.31,242.40,947441,231451232
2025-06-10,244.26,254.39,256.93,242.56,2587590,645697250
2025-06-11,254.39,260.22,260.43,253.88,1968878,506454234
2025-06-12,260.22,262.13,264.25,258.98,3597698,940415482
2025-06-13,262.13,266.21,268.43,261.69,1944329,514495786
2025-06-16,266.21,267.12,268.53,264.83,4924109,1313133788
2025-06-17,267.12,270.28,270.69,266.19,2221512,596635429
2025-06-18,270.28,265.78,275.70,265.14,2019389,543665683
2025-06-19,265.78,262.34,266.22,261.46,3117540,822875817
2025-06-20,262.34,267.82,271.46,260.57,3769123,1000877090
2025-06-23,267.82,271.85,275.39,264.80,3529444,952823534
2025-06-24,271.85,274.86,275.28,270.30,3790060,1034955420
2025-06-25,274.86,276.23,278.22,272.69,2698588,743460986
2025-06-26,276.23,282.35,283.16,275.11,3000733,837834983
2025-06-27,282.35,287.38,289.40,281.09,1520293,433370084
2025-06-30,287.38,291.50,293.29,284.26,1837564,531255752
2025-07-01,291.50,298.19,298.59,291.49,2350440,693246777
2025-07-02,298.19,297.42,298.34,295.33,5079052,1510096256
2025-07-03,297.42,290.52,298.28,281.83,4317345,1260716205
2025-07-04,290.52,290.56,292.70,288.32,4941957,1435753403
2025-07-07,290.56,291.96,295.34,288.08,2357789,687261838
2025-07-08,291.96,298.38,299.54,290.23,2637169,778034125
2025-07-09,298.38,305.09,305.92,293.98,3878804,1166900946
2025-07-10,305.09,304.50,306.70,301.06,1312299,399380928
2025-07-11,304.50,306.72,308.11,304.26,4605609,1408842928
2025-07-14,306.72,298.02,309.57,293.25,2055202,620440423
2025-07-15,298.02,302.33,302.45,297.30,3440407,1032203648
2025-07-16,302.33,296.33,303.47,295.86,4019422,1203805109
2025-07-17,296.33,284.04,297.09,282.84,8154146,2365303341
2025-07-18,284.04,285.73,288.92,279.19,5890896,1675761421
2025-07-21,285.73,286.56,288.99,283.79,2011196,575736139
2025-07-22,286.56,283.84,287.60,280.82,4541635,1293029279
2025-07-23,283.84,281.82,285.30,280.22,598428,169232809
2025-07-24,281.82,280.71,282.72,276.54,729216,204507832
2025-07-25,280.71,280.84,282.44,276.89,922443,258488779
2025-07-28,280.84,285.58,288.53,280.06,2793270,792601224
2025-07-29,285.58,288.34,292.47,283.71,3961586,1139044706
2025-07-30,288.34,285.52,288.42,283.76,1864306,534137806
2025-07-31,285.52,288.96,290.29,284.89,6225775,1789402874
2025-08-01,288.96,280.96,292.66,280.75,5291376,1512462932
2025-08-04,280.96,284.74,286.10,279.94,2575695,728762280
2025-08-05,284.74,286.72,291.49,283.87,2915646,835936060
2025-08-06,286.72,291.09,297.28,282.74,2939243,850790885
2025-08-07,291.09,291.80,297.72,290.12,5796256,1696471661
2025-08-08,291.80,292.36,296.32,287.70,6033991,1762205700
2025-08-11,292.36,294.40,297.97,288.07,3237138,949131466
2025-08-12,294.40,294.28,295.40,292.39,2316459,681314913
2025-08-13,294.28,297.98,302.81,293.00,2372033,704539352
2025-08-14,297.98,297.44,298.34,294.04,3127520,928721499
2025-08-15,297.44,290.69,298.10,289.31,2998162,881112028
2025-08-18,290.69,293.84,298.49,290.60,1977377,580166382
2025-08-19,293.84,297.06,301.91,292.22,2818275,834930815
2025-08-20,297.06,291.48,298.94,285.73,3673145,1077348416
2025-08-21,291.48,294.52,296.59,288.04,964852,282373043
2025-08-22,294.52,292.88,296.85,289.19,2346227,688293630
2025-08-25,292.88,296.81,297.36,287.30,1478457,434058118
2025-08-26,296.81,307.00,307.83,296.54,4632450,1399212831
2025-08-27,307.00,307.31,307.84,304.12,2601389,797492552
2025-08-28,307.31,307.09,309.68,301.41,1749067,535863594
2025-08-29,307.09,303.88,307.88,299.20,2001992,609635316
2025-09-01,303.88,313.77,314.94,301.37,2650398,817626614
2025-09-02,313.77,316.32,323.31,312.25,5591192,1769115948
2025-09-03,316.32,316.13,318.36,314.43,2552793,807474932
2025-09-04,316.13,315.43,317.58,312.65,3409118,1075399525
2025-09-05,315.43,312.60,318.42,311.20,2271794,714282457
2025-09-08,312.60,305.38,313.34,303.30,1904035,587692502
2025-09-09,305.38,309.87,312.99,303.84,3238320,997463937
2025-09-10,309.87,307.45,312.71,303.61,670527,206798281
2025-09-11,307.45,304.41,310.61,296.11,2678215,815907946
2025-09-12,304.41,301.69,306.49,299.57,1057398,320436564
2025-09-16,301.69,312.03,313.31,300.56,100000,30689815
2025-09-17,312.03,305.06,314.81,304.89,4029401,1245894657
2025-09-18,305.06,308.46,310.41,303.02,3517723,1079010513
2025-09-19,308.46,309.48,309.50,307.88,1809809,558918613
2025-09-22,309.48,310.61,313.86,307.65,2121570,658535937
2025-09-23,310.61,307.39,317.27,305.26,1897497,588479666
2025-09-24,307.39,307.45,308.39,307.18,2920838,898458433
2025-09-25,307.45,304.73,310.87,303.87,1765871,541647114
2025-09-26,304.73,306.61,307.02,301.23,3465658,1056675465
2025-09-29,306.61,314.27,319.74,303.21,2759462,858078389
2025-09-30,314.27,311.96,315.02,311.25,1654216,517978293
2025-10-09,311.96,319.20,324.87,311.21,3932253,1245780941
2025-10-10,319.20,311.20,319.64,307.56,1300644,408922309
2025-10-13,311.20,315.43,317.88,309.74,2665977,835948109
2025-10-14,315.43,319.64,325.93,309.35,6124817,1945157872
2025-10-15,319.64,323.99,324.23,317.13,1804214,579599090
2025-10-16,323.99,322.14,325.36,320.09,3282798,1060001021
2025-10-17,322.14,311.13,325.35,306.31,814847,257680167
2025-10-20,311.13,303.96,311.53,300.35,4745759,1455716537
2025-10-21,303.96,310.86,313.46,300.60,1044604,320923982
2025-10-22,310.86,319.02,322.15,310.86,1155184,364720739
2025-10-23,319.02,320.51,323.18,318.62,2599739,832782376
2025-10-24,320.51,320.54,320.56,318.45,5393515,1726014431
2025-10-27,320.54,316.16,320.64,308.14,4319513,1366570930
2025-10-28,316.16,325.58,327.68,315.37,1438461,462026859
2025-10-29,325.58,328.81,330.93,324.61,6650943,2178059738
2025-10-30,328.81,337.21,337.28,326.76,2890671,961193396
2025-10-31,337.21,335.20,339.15,333.29,1084446,364604332
2025-11-03,335.20,337.05,339.15,334.18,2114767,711405312
2025-11-04,337.05,336.15,337.55,334.87,4314382,1451381943
2025-11-05,336.15,340.36,344.40,335.39,1540879,522475455
2025-11-06,340.36,336.46,342.38,335.67,1047718,354884046
2025-11-07,336.46,332.60,341.19,325.01,1495199,499123966
2025-11-10,332.60,334.27,337.90,332.44,5214606,1743261519
2025-11-11,334.27,330.59,338.20,330.34,3746493,1248887892
2025-11-12,330.59,330.57,330.66,327.98,4937296,1629056012
2025-11-13,330.57,338.08,344.66,328.07,2801437,939456213
2025-11-14,338.08,340.21,340.69,336.30,2542212,861357241
2025-11-17,340.21,341.50,341.61,337.86,3795367,1291538398
2025-11-18,341.50,337.98,344.93,337.37,2989269,1017674755
2025-11-19,337.98,339.45,345.60,336.29,432309,146911117
2025-11-20,339.45,335.25,341.05,333.10,3617026,1219702942
2025-11-21,335.25,330.16,336.10,323.90,1215007,402597746
2025-11-24,330.16,331.03,331.11,326.78,2055728,677923339
2025-11-25,331.03,330.00,333.05,329.73,1342344,444254458
2025-11-26,330.00,338.97,340.19,326.52,1348878,450418752
2025-11-27,338.97,349.55,352.41,337.01,5195437,1789735440
2025-11-28,349.55,347.04,353.15,345.40,2190436,763993510
2025-12-01,347.04,346.99,353.63,343.68,3032349,1054763250
2025-12-02,346.99,352.43,352.64,342.53,1674653,583865860
2025-12-03,352.43,353.31,354.10,347.82,2771731,975413655
2025-12-04,353.31,361.25,364.39,349.76,2584095,922981604
2025-12-05,361.25,366.31,368.30,356.68,1534241,557138063
