date,open,close,high,low,volume,amount
2025-01-02,3200.00,3218.91,3224.11,3184.19,3119196,10002648169
2025-01-03,3218.91,3204.89,3254.85,3198.58,3759174,12101941166
2025-01-06,3204.89,3179.40,3206.10,3153.80,5230252,16663832748
2025-01-07,3179.40,3222.70,3235.92,3175.03,3539904,11339239992
2025-01-08,3222.70,3194.15,3245.47,3183.85,3420878,10986298746
2025-01-09,3194.15,3169.55,3216.23,3148.83,3420955,10886135595
2025-01-10,3169.55,3163.44,3171.40,3162.60,9614274,30445974201
2025-01-13,3163.44,3165.49,3172.86,3152.53,4491503,14209226939
2025-01-14,3165.49,3207.01,3214.82,3163.24,7446274,23736037561
2025-01-15,3207.01,3202.35,3230.49,3199.73,4578337,14695985172
2025-01-16,3202.35,3197.41,3226.34,3186.87,2134183,6836306181
2025-01-17,3197.41,3214.94,3215.48,3192.66,7888953,25285070212
2025-01-20,3214.94,3231.37,3234.11,3203.94,3918243,12621008999
2025-01-21,3231.37,3233.61,3266.28,3226.52,6306997,20431156382
2025-01-22,3233.61,3236.93,3249.05,3203.50,6762351,21847609692
2025-01-23,3236.93,3282.07,3296.19,3220.76,1976140,6440216146
2025-01-24,3282.07,3230.51,3288.54,3213.93,4448455,14474222188
2025-01-27,3230.51,3231.26,3249.60,3224.52,3590627,11611984114
2025-02-05,3231.26,3222.65,3244.60,3221.98,4145125,13389255664
2025-02-06,3222.65,3163.71,3232.02,3120.97,4097123,13048661387
2025-02-07,3163.71,3095.43,3169.83,3087.97,6485619,20295027738
2025-02-10,3095.43,3087.65,3101.19,3064.75,10237028,31604307020
2025-02-11,3087.65,3118.59,3118.87,3058.80,5489856,16996476239
2025-02-12,3118.59,3133.24,3151.02,3103.54,5493261,17175219061
2025-02-13,3133.24,3137.77,3138.08,3115.53,3489192,10925203456
2025-02-14,3137.77,3125.55,3159.83,3117.57,7971924,24993417995
2025-02-17,3125.55,3149.76,3165.86,3109.12,5330746,16725596632
2025-02-18,3149.76,3153.87,3157.05,3147.76,8240976,25976450414
2025-02-19,3153.87,3187.41,3207.24,3140.47,5748240,18234836832
2025-02-20,3187.41,3189.28,3191.07,3178.15,5083814,16199454802
2025-02-21,3189.28,3189.18,3210.41,3165.04,2883047,9192529072
2025-02-24,3189.18,3170.49,3197.53,3160.60,6142011,19528212667
2025-02-25,3170.49,3174.12,3188.11,3139.53,3517224,11142789441
2025-02-26,3174.12,3191.22,3217.27,3146.05,5861242,18651432970
2025-02-27,3191.22,3188.72,3203.80,3175.75,5223664,16662835095
2025-02-28,3188.72,3195.86,3206.90,3177.64,6004060,19166651219
2025-03-03,3195.86,3191.43,3215.04,3190.26,3735229,11945825961
2025-03-04,3191.43,3258.19,3277.84,3179.64,2334059,7531484630
2025-03-05,3258.19,3199.43,3261.71,3187.82,6938550,22389218870
2025-03-06,3199.43,3190.67,3205.96,3169.08,7998200,25524524218
2025-03-07,3190.67,3169.54,3214.96,3161.21,3893324,12396721186
2025-03-10,3169.54,3152.05,3171.54,3126.27,7291177,23002565836
2025-03-11,3152.05,3184.63,3193.39,3128.47,4098403,12969946539
2025-03-12,3184.63,3174.78,3207.26,3156.86,10331216,32862388074
2025-03-13,3174.78,3190.66,3200.67,3153.57,5909804,18792716495
2025-03-14,3190.66,3250.78,3296.47,3166.20,3613787,11658178020
2025-03-17,3250.78,3254.58,3262.16,3239.54,6288986,20450306501
2025-03-18,3254.58,3232.57,3271.36,3226.26,4422643,14356745610
2025-03-19,3232.57,3220.49,3239.35,3208.93,6496974,20954896913
2025-03-20,3220.49,3172.84,3237.98,3168.42,7262317,23238912377
2025-03-21,3172.84,3168.72,3225.78,3148.36,5451035,17328437480
2025-03-24,3168.72,3170.74,3176.67,3166.65,4637610,14704445917
2025-03-25,3170.74,3126.07,3174.07,3119.59,7237509,22780909545
2025-03-26,3126.07,3140.26,3160.85,3105.18,9753437,30558404677
2025-03-27,3140.26,3118.85,3171.46,3103.91,3434600,10762737470
2025-03-28,3118.85,3146.05,3180.23,3082.55,6578462,20603234968
2025-03-31,3146.05,3172.87,3177.94,3109.08,3915482,12339580889
2025-04-01,3172.87,3197.69,3198.12,3163.68,1509544,4805015251
2025-04-02,3197.69,3209.15,3224.01,3190.47,5331017,17087682501
2025-04-03,3209.15,3225.43,3229.84,3202.18,3149612,10131199535
2025-04-08,3225.43,3204.99,3233.06,3181.64,6039233,19393654771
2025-04-09,3204.99,3164.37,3213.37,3140.16,3509121,11161537337
2025-04-10,3164.37,3203.47,3216.67,3155.98,1841426,5865166001
