date,open,close,high,low,volume,amount
2025-01-02,10000.00,10079.65,10199.04,9986.58,2857320,28762689767
2025-01-03,10079.65,9905.91,10137.32,9846.11,4069272,40661160336
2025-01-06,9905.91,9804.38,9960.99,9758.14,7078306,69773364186
2025-01-07,9804.38,9816.72,9891.84,9796.56,6045777,59414122587
2025-01-08,9816.72,9803.03,9833.24,9770.44,9265682,90857975330
2025-01-09,9803.03,9850.38,9970.03,9748.20,6565450,64623133405
2025-01-10,9850.38,9751.96,9941.38,9710.92,7531773,73914251060
2025-01-13,9751.96,9984.81,10022.94,9710.06,5220704,51514991067
2025-01-14,9984.81,9970.25,10101.32,9889.54,4975020,49682933110
2025-01-15,9970.25,9968.70,10004.93,9965.55,3614664,36064789151
2025-01-16,9968.70,9923.99,9993.22,9788.50,11456518,113632641417
2025-01-17,9923.99,10179.53,10204.46,9902.42,894412,8991164593
2025-01-20,10179.53,10176.62,10187.92,10175.24,11661551,118712564297
2025-01-21,10176.62,10154.75,10224.18,10109.82,11286025,114737583189
2025-01-22,10154.75,10186.23,10240.60,10152.01,5331573,54293521864
2025-01-23,10186.23,10320.48,10455.98,10182.53,6115069,62901452545
2025-01-24,10320.48,10572.01,10638.59,10318.74,5387050,56361772975
2025-01-27,10572.01,10525.96,10667.01,10436.69,3386522,35729220033
2025-02-05,10525.96,10269.85,10615.65,10181.95,3836648,39894809344
2025-02-06,10269.85,10183.44,10320.24,10016.36,6069703,61895625641
2025-02-07,10183.44,9999.53,10234.42,9885.08,3707360,37353934657
2025-02-10,9999.53,9882.14,10065.99,9812.66,4696399,46682568202
2025-02-11,9882.14,9974.43,10135.81,9834.18,7423816,73916250993
2025-02-12,9974.43,9951.07,10029.72,9905.86,5722044,57021703329
2025-02-13,9951.07,9798.04,9974.56,9693.38,5973530,58864732890
2025-02-14,9798.04,9906.61,9975.75,9735.02,8776132,86478752371
2025-02-17,9906.61,10098.19,10114.51,9776.99,10649624,106220171274
2025-02-18,10098.19,10196.55,10274.06,10046.92,3909813,39699972825
2025-02-19,10196.55,10280.37,10333.98,10113.44,8783061,89860234915
2025-02-20,10280.37,10359.44,10371.11,10202.88,3996091,41173518417
2025-02-21,10359.44,10383.83,10465.39,10353.20,6373036,66218811539
2025-02-24,10383.83,10072.31,10508.34,10062.57,1259104,12914333157
2025-02-25,10072.31,9950.29,10087.59,9886.66,4833571,48331907757
2025-02-26,9950.29,10129.17,10271.68,9747.43,3410267,34186697800
2025-02-27,10129.17,10012.88,10133.10,10002.50,8639946,86999180182
2025-02-28,10012.88,10131.58,10184.56,9988.78,4238040,42717104045
2025-03-03,10131.58,10088.43,10183.50,10086.39,3687049,37322060105
2025-03-04,10088.43,9974.83,10183.55,9966.93,8049339,80923528537
2025-03-05,9974.83,10171.94,10194.92,9897.61,5220243,52514736191
2025-03-06,10171.94,9925.09,10192.92,9911.56,3306248,33229038223
2025-03-07,9925.09,9889.60,10105.81,9841.20,6634106,65945834772
2025-03-10,9889.60,9836.54,9991.18,9756.15,9442330,93180370551
2025-03-11,9836.54,9742.08,9919.93,9718.99,5030388,49319865972
2025-03-12,9742.08,9761.57,9869.53,9637.39,12766041,124502641023
2025-03-13,9761.57,9945.09,9991.25,9742.94,3196190,31515111412
2025-03-14,9945.09,10189.50,10267.64,9823.35,2954011,29706700984
2025-03-17,10189.50,10288.39,10294.14,10168.97,12081609,123658293117
2025-03-18,10288.39,10235.15,10320.51,10099.61,3455178,35366907254
2025-03-19,10235.15,10125.27,10246.26,10059.26,3024335,30746856307
2025-03-20,10125.27,9946.49,10177.22,9885.53,5110300,51274852412
2025-03-21,9946.49,9900.93,9977.67,9827.11,4067970,40326001190
2025-03-24,9900.93,9805.11,9925.60,9702.85,901718,8867152329
2025-03-25,9805.11,9602.48,9921.95,9560.70,10261757,99770526638
2025-03-26,9602.48,9672.02,9707.49,9576.13,6353707,61246760568
2025-03-27,9672.02,9845.69,9888.04,9667.83,8107752,79199725321
