date,open,close,high,low,volume,amount
2025-01-02,2000.00,2029.50,2039.25,1986.95,2651836,5340600476
2025-01-03,2029.50,2046.43,2071.95,2027.54,13827035,28260463323
2025-01-06,2046.43,2072.64,2089.34,2038.61,4894894,10092058571
2025-01-07,2072.64,2041.17,2076.39,2023.91,8224906,16890085566
2025-01-08,2041.17,1998.77,2080.75,1983.16,2053909,4161140785
2025-01-09,1998.77,2002.88,2026.31,1990.24,1689527,3386740135
2025-01-10,2002.88,1965.07,2008.66,1958.78,4624875,9175053316
2025-01-13,1965.07,1904.48,1969.84,1887.40,5530287,10682841789
2025-01-14,1904.48,1857.09,1912.51,1848.21,7206966,13553204447
2025-01-15,1857.09,1914.91,1926.81,1848.23,3318813,6261802584
2025-01-16,1914.91,1895.16,1926.38,1861.85,3150019,5983694097
2025-01-17,1895.16,1881.36,1918.31,1861.10,5741532,10845666274
2025-01-20,1881.36,1962.02,1963.54,1876.79,8768367,16843389528
2025-01-21,1962.02,1990.06,2034.97,1960.09,7863358,15622812424
2025-01-22,1990.06,1990.26,2012.09,1966.20,1108756,2206039708
2025-01-23,1990.26,1981.16,2002.67,1968.43,1123473,2230799680
2025-01-24,1981.16,1999.89,2038.65,1959.02,5288597,10549063387
2025-01-27,1999.89,1936.65,2017.24,1926.75,5720322,11269800431
2025-02-05,1936.65,1884.78,1940.00,1857.28,6586804,12545744433
2025-02-06,1884.78,1921.64,1941.22,1871.51,7278566,13864128929
2025-02-07,1921.64,1907.69,1943.04,1876.23,2486515,4754591286
2025-02-10,1907.69,1892.41,1936.38,1880.44,8761655,16684191499
2025-02-11,1892.41,1891.52,1910.30,1863.78,4821262,9109773060
2025-02-12,1891.52,1870.08,1893.50,1855.14,2819137,5293101186
2025-02-13,1870.08,1857.02,1884.26,1845.60,9004473,16786511215
2025-02-14,1857.02,1909.40,1917.56,1848.13,3612867,6803125282
2025-02-17,1909.40,1885.67,1941.59,1877.32,6313819,12018329416
2025-02-18,1885.67,1882.71,1891.87,1865.56,7857218,14782981607
2025-02-19,1882.71,1848.51,1900.17,1830.04,3778685,7048603342
2025-02-20,1848.51,1882.21,1919.95,1839.64,7455952,13961846821
2025-02-21,1882.21,1876.88,1895.41,1871.31,7717973,14521006446
2025-02-24,1876.88,1876.49,1888.85,1858.09,11444347,21459055608
2025-02-25,1876.49,1877.74,1880.74,1853.89,6742645,12623705275
2025-02-26,1877.74,1824.71,1889.73,1810.25,9331538,17269028563
2025-02-27,1824.71,1822.34,1856.64,1814.92,1805981,3304315060
2025-02-28,1822.34,1800.37,1858.66,1800.30,12007449,21858574262
2025-03-03,1800.37,1792.27,1821.36,1782.29,6628734,11925583899
2025-03-04,1792.27,1783.28,1799.02,1782.23,2822406,5049851409
2025-03-05,1783.28,1804.93,1812.96,1772.19,1982270,3554890870
2025-03-06,1804.93,1811.24,1828.63,1789.00,9170320,16584070115
2025-03-07,1811.24,1829.46,1844.07,1794.74,9072999,16511734051
2025-03-10,1829.46,1845.73,1848.34,1821.42,8797514,16154343378
2025-03-11,1845.73,1875.19,1900.26,1828.19,4726083,8801587218
2025-03-12,1875.19,1909.62,1933.39,1867.05,3101904,5882177424
2025-03-13,1909.62,1953.13,1978.42,1892.26,7708228,14902772267
2025-03-14,1953.13,1958.54,1965.87,1934.24,3475583,6787626670
2025-03-17,1958.54,1933.19,1961.03,1924.05,9826766,19105228286
2025-03-18,1933.19,1890.44,1965.05,1889.79,7244639,13906927013
2025-03-19,1890.44,1924.84,1936.88,1877.65,4621266,8814844545
2025-03-20,1924.84,1954.93,1993.22,1908.35,7308998,14218457880
2025-03-21,1954.93,1954.79,1962.89,1940.07,4595598,8975989917
2025-03-24,1954.79,1930.87,1959.43,1920.59,7411569,14388987580
2025-03-25,1930.87,1931.44,1938.81,1911.11,9610897,18530366541
2025-03-26,1931.44,1989.95,2000.87,1915.76,1000367,1960223202
2025-03-27,1989.95,1975.13,1990.46,1968.58,5100626,10104489076
2025-03-28,1975.13,1970.68,1984.36,1951.67,7493686,14765995028
2025-03-31,1970.68,1992.00,2010.70,1948.47,4289312,8494815679
2025-04-01,1992.00,1977.65,2001.30,1973.13,5583485,11088912292
2025-04-02,1977.65,2006.40,2027.60,1959.67,3866963,7706201773
2025-04-03,2006.40,2002.17,2011.06,1977.59,6634367,13264119180
2025-04-08,2002.17,2007.52,2017.42,2000.64,6782512,13612074254
2025-04-09,2007.52,1884.28,2022.76,1883.61,3136383,6114512282
2025-04-10,1884.28,1898.17,1934.88,1871.62,7126696,13521025486
2025-04-11,1898.17,1902.32,1922.73,1875.77,6219531,11815523350
2025-04-14,1902.32,1867.07,1924.38,1862.06,3445878,6509119449
2025-04-15,1867.07,1835.20,1901.01,1831.63,5388746,10016212495
2025-04-16,1835.20,1855.95,1874.81,1818.20,1565185,2889391052
2025-04-17,1855.95,1891.47,1896.71,1852.91,6127027,11483647125
2025-04-18,1891.47,1911.84,1938.06,1866.80,5825867,11081053729
2025-04-21,1911.84,1871.86,1936.96,1868.76,13166298,24981099771
2025-04-22,1871.86,1867.51,1876.67,1864.82,4909429,9181692718
2025-04-23,1867.51,1896.02,1900.63,1860.05,6157738,11583044836
2025-04-24,1896.02,1900.39,1921.16,1891.90,3714022,7065444156
2025-04-25,1900.39,1884.19,1912.20,1876.72,2811150,5322555825
2025-04-28,1884.19,1914.19,1920.35,1872.52,6912282,13118208922
2025-04-29,1914.19,1827.29,1928.11,1790.08,11317378,21105979798
2025-04-30,1827.29,1817.14,1830.65,1816.85,5358643,9768715740
2025-05-06,1817.14,1784.99,1828.26,1757.00,7196600,12931186155
2025-05-07,1784.99,1815.31,1835.50,1778.72,8872827,16003294884
2025-05-08,1815.31,1828.47,1829.87,1810.50,11351470,20671484675
2025-05-09,1828.47,1828.66,1830.40,1817.75,6841819,12495347418
2025-05-12,1828.66,1805.19,1857.15,1803.42,3552747,6478806378
2025-05-13,1805.19,1769.55,1805.40,1767.23,6477827,11574859303
2025-05-14,1769.55,1758.53,1789.42,1757.47,1282023,2267568142
2025-05-15,1758.53,1793.25,1794.03,1738.22,11655027,20641126614
2025-05-16,1793.25,1773.73,1795.26,1751.07,3591642,6387109782
2025-05-19,1773.73,1797.11,1797.47,1768.32,8981155,16023785754
2025-05-20,1797.11,1796.96,1828.70,1776.04,3828996,6891038725
2025-05-21,1796.96,1791.08,1814.45,1775.57,4260817,7646100845
2025-05-22,1791.08,1810.02,1854.39,1778.07,3948700,7140793679
2025-05-23,1810.02,1877.99,1908.61,1809.51,4660665,8629373553
2025-05-26,1877.99,1904.73,1907.44,1873.43,6089333,11514310030
2025-05-27,1904.73,1901.53,1944.50,1900.76,2649848,5068837577
2025-05-28,1901.53,1909.78,1913.32,1857.73,4581616,8684865834
2025-05-29,1909.78,1888.32,1913.89,1854.18,10866178,20553826562
2025-05-30,1888.32,1941.80,1947.86,1867.44,6459991,12347336869
2025-06-03,1941.80,1926.06,1967.38,1902.58,2778134,5374173359
2025-06-04,1926.06,1906.31,1960.87,1892.13,7310188,14045386961
2025-06-05,1906.31,1894.99,1920.92,1882.51,5797202,11021551332
2025-06-06,1894.99,1877.82,1900.33,1877.42,11115040,20981216364
2025-06-09,1877.82,1875.36,1914.59,1865.62,8329118,15686632294
2025-06-10,1875.36,1909.12,1928.37,1860.12,5435273,10290297852
2025-06-11,1909.12,1952.07,1962.58,1880.33,4878345,9395810974
2025-06-12,1952.07,2000.72,2004.96,1914.53,10154420,19984643462
2025-06-13,2000.72,2007.15,2010.30,1977.73,8471023,16933355345
2025-06-16,2007.15,2013.93,2023.77,2001.16,5019945,10097629151
2025-06-17,2013.93,2036.92,2045.06,1993.51,7688418,15548707148
2025-06-18,2036.92,2033.85,2046.93,2015.59,3091636,6286292450
2025-06-19,2033.85,2032.24,2058.11,2025.95,3734010,7608188176
2025-06-20,2032.24,2043.92,2078.22,2014.12,3566752,7283751086
2025-06-23,2043.92,2024.90,2049.82,2016.13,3012335,6126163756
2025-06-24,2024.90,2003.33,2029.78,1993.35,3142875,6326100600
2025-06-25,2003.33,1978.40,2025.93,1961.85,2357969,4697965372
