timestamp,price,volume,amount
2026-01-02 09:30:00,95.93,692,66384
2026-01-02 09:30:01,95.39,638,60859
2026-01-02 09:30:02,96.68,620,59942
2026-01-02 09:30:03,102.48,648,66407
2026-01-02 09:30:04,102.48,586,60053
2026-01-02 09:30:05,102.48,681,69789
2026-01-02 09:30:06,102.48,627,64255
2026-01-02 09:30:07,102.48,653,66919
2026-01-02 09:30:08,102.48,687,70404
2026-01-02 09:30:09,102.48,607,62205
2026-01-02 09:30:10,102.48,648,66407
2026-01-02 09:30:11,102.48,649,66510
2026-01-02 09:30:12,102.48,723,74093
2026-01-02 09:30:13,102.48,630,64562
2026-01-02 09:30:14,102.48,678,69481
2026-01-02 09:30:15,102.48,665,68149
2026-01-02 09:30:16,102.48,647,66305
2026-01-02 09:30:17,102.48,587,60156
2026-01-02 09:30:18,102.48,628,64357
2026-01-02 09:30:19,102.48,663,67944
2026-01-02 09:30:20,102.48,644,65997
2026-01-02 09:30:21,102.48,648,66407
2026-01-02 09:30:22,102.48,708,72556
2026-01-02 09:30:23,102.48,632,64767
2026-01-02 09:30:24,102.48,667,68354
2026-01-02 09:30:25,102.48,667,68354
2026-01-02 09:30:26,102.48,641,65690
2026-01-02 09:30:27,102.48,649,66510
2026-01-02 09:30:28,102.48,599,61386
2026-01-02 09:30:29,102.48,649,66510
2026-01-02 09:30:30,101.39,652,66106
2026-01-02 09:30:31,100.02,666,66613
2026-01-02 09:30:32,99.88,700,69916
2026-01-02 09:30:33,99.83,637,63592
2026-01-02 09:30:34,99.28,650,64532
2026-01-02 09:30:35,99.09,629,62328
2026-01-02 09:30:36,100.93,616,62173
2026-01-02 09:30:37,98.04,665,65197
2026-01-02 09:30:38,99.74,696,69419
2026-01-02 09:30:39,100.71,644,64857
2026-01-02 09:30:40,99.04,624,61801
2026-01-02 09:30:41,97.98,627,61433
2026-01-02 09:30:42,95.85,686,65753
2026-01-02 09:30:43,99.86,669,66806
2026-01-02 09:30:44,100.36,631,63327
2026-01-02 09:30:45,99.21,636,63098
2026-01-02 09:30:46,96.58,691,66737
2026-01-02 09:30:47,95.48,675,64449
2026-01-02 09:30:48,93.57,624,58388
2026-01-02 09:30:49,94.52,667,63045
2026-01-02 09:30:50,93.57,607,56797
2026-01-02 09:30:51,95.86,608,58283
2026-01-02 09:30:52,93.71,654,61286
2026-01-02 09:30:53,94.09,618,58148
2026-01-02 09:30:54,96.94,674,65338
2026-01-02 09:30:55,93.57,644,60259
2026-01-02 09:30:56,93.57,620,58013
2026-01-02 09:30:57,93.57,667,62411
2026-01-02 09:30:58,93.57,642,60072
2026-01-02 09:30:59,93.57,671,62785
2026-01-02 09:31:00,93.57,644,60259
2026-01-02 09:31:01,93.57,666,62318
2026-01-02 09:31:02,93.57,679,63534
2026-01-02 09:31:03,93.57,593,55487
2026-01-02 09:31:04,93.57,630,58949
2026-01-02 09:31:05,93.57,690,64563
2026-01-02 09:31:06,93.57,648,60633
2026-01-02 09:31:07,93.57,635,59417
2026-01-02 09:31:08,93.57,645,60353
2026-01-02 09:31:09,93.57,643,60166
2026-01-02 09:31:10,93.57,611,57171
2026-01-02 09:31:11,93.57,677,63347
2026-01-02 09:31:12,93.57,673,62973
2026-01-02 09:31:13,93.57,666,62318
2026-01-02 09:31:14,93.57,679,63534
2026-01-02 09:31:15,93.57,642,60072
2026-01-02 09:31:16,93.57,635,59417
