date,open,close,high,low,volume,amount
2025-01-02,38.00,37.04,38.18,36.82,9376468,351720511
2025-01-03,37.04,36.85,37.49,36.33,1561961,57682370
2025-01-06,36.85,36.65,37.05,36.20,2815979,103316337
2025-01-07,36.65,36.65,37.58,36.35,2297722,84571268
2025-01-08,36.65,36.06,37.27,35.72,3535613,128783491
2025-01-09,36.06,34.95,36.10,34.57,4520910,160128276
2025-01-10,34.95,34.43,35.39,34.23,1276058,44344975
2025-01-13,34.43,33.45,34.69,33.13,4004170,135837274
2025-01-14,33.45,34.57,35.08,33.31,3547750,121000805
2025-01-15,34.57,34.61,34.77,33.90,2974701,102515019
2025-01-16,34.61,33.94,35.03,33.82,2718565,93375057
2025-01-17,33.94,33.71,34.19,33.30,4721831,159516794
2025-01-20,33.71,34.29,35.08,33.05,8958390,304852079
2025-01-21,34.29,34.06,34.38,33.98,3475889,118788633
2025-01-22,34.06,33.31,34.08,33.08,4448395,149613214
2025-01-23,33.31,32.73,33.63,32.43,4932124,162878978
2025-01-24,32.73,32.48,32.95,31.93,5083882,165324626
2025-01-27,32.48,32.28,32.71,31.77,6478330,209317147
2025-02-05,32.28,31.38,32.93,31.25,8838256,282478659
2025-02-06,31.38,31.34,31.47,30.86,1396702,43662970
2025-02-07,31.34,31.46,31.49,31.20,9481715,297452183
2025-02-10,31.46,31.38,32.01,30.79,6447257,202514188
2025-02-11,31.38,30.33,31.43,30.30,8662013,267322725
2025-02-12,30.33,31.01,31.20,29.94,5701652,174601673
2025-02-13,31.01,30.26,31.28,30.17,4977571,152707837
2025-02-14,30.26,29.98,30.49,29.61,4393017,132156838
2025-02-17,29.98,30.48,31.04,29.83,6831611,207229215
2025-02-18,30.48,29.61,31.08,29.24,11906565,358422082
2025-02-19,29.61,30.23,30.33,29.14,8920620,266090778
2025-02-20,30.23,30.82,31.30,29.87,3509992,107249025
2025-02-21,30.82,30.74,30.94,30.37,10448263,320963733
2025-02-24,30.74,31.36,31.43,30.48,4956181,153660805
2025-02-25,31.36,31.80,32.20,31.28,9845065,311700063
2025-02-26,31.80,31.53,32.42,30.27,4660798,146837909
2025-02-27,31.53,31.23,31.90,30.64,5156553,161516295
2025-02-28,31.23,31.63,31.85,31.19,5862611,184518237
2025-03-03,31.63,31.32,32.35,30.82,723942,22825940
2025-03-04,31.32,32.20,32.35,30.95,9798518,310642058
2025-03-05,32.20,32.80,33.02,31.36,6637560,214693643
2025-03-06,32.80,31.80,32.89,31.73,4837224,156263053
2025-03-07,31.80,30.89,31.85,30.40,9540580,298023492
2025-03-10,30.89,29.93,31.21,29.74,4443547,135276099
2025-03-11,29.93,29.46,30.28,28.82,5394306,159801578
2025-03-12,29.46,30.54,30.95,29.07,7378500,221410482
2025-03-13,30.54,31.45,31.56,30.40,5100121,158028540
2025-03-14,31.45,32.25,32.66,31.08,4389593,139841936
2025-03-17,32.25,31.26,32.41,31.03,3346280,106188246
2025-03-18,31.26,30.92,31.68,30.42,11514137,357728406
2025-03-19,30.92,31.41,31.58,30.51,2720805,84625702
2025-03-20,31.41,30.18,31.54,30.14,8459324,260700352
2025-03-21,30.18,29.90,30.20,29.68,9208503,276186455
2025-03-24,29.90,29.79,30.44,29.59,7260628,217322489
2025-03-25,29.79,28.99,29.80,28.97,7908729,232436835
2025-03-26,28.99,28.74,29.28,28.26,12359290,356169932
2025-03-27,28.74,28.89,29.41,28.47,4810268,138909093
2025-03-28,28.89,28.87,29.22,28.72,11514344,333067868
2025-03-31,28.87,28.62,29.02,28.52,3662099,105310084
2025-04-01,28.62,28.30,28.97,27.88,2921822,83103299
2025-04-02,28.30,27.76,28.55,27.75,3788349,106422476
2025-04-03,27.76,27.26,27.94,27.21,4004636,110300151
2025-04-08,27.26,27.65,27.98,26.99,14082554,386831522
2025-04-09,27.65,28.06,28.16,27.37,10308577,286680928
2025-04-10,28.06,28.39,28.54,27.88,6026339,170044292
2025-04-11,28.39,28.69,28.92,27.45,2527867,71696997
2025-04-14,28.69,28.28,28.94,28.13,4188463,119415282
2025-04-15,28.28,28.10,28.37,27.39,9250929,259346554
2025-04-16,28.10,28.08,28.78,28.06,4919946,139000502
2025-04-17,28.08,27.31,28.27,26.94,2580672,71352863
2025-04-18,27.31,26.93,27.59,26.68,4679349,126939337
2025-04-21,26.93,27.12,27.31,26.66,3941253,106436094
2025-04-22,27.12,27.57,28.20,26.90,5188264,142403394
2025-04-23,27.57,26.19,27.81,25.96,1149073,30889921
2025-04-24,26.19,26.63,26.75,26.02,10041686,265096400
2025-04-25,26.63,27.42,27.60,26.55,1029902,27860271
2025-04-28,27.42,27.14,27.86,26.74,8339332,227574898
2025-04-29,27.14,26.47,27.46,26.00,1525607,40836005
2025-04-30,26.47,25.69,26.53,25.48,16035865,417593563
2025-05-06,25.69,25.60,26.13,25.27,7362073,188990368
2025-05-07,25.60,25.76,26.33,25.39,4977168,128255577
2025-05-08,25.76,26.07,26.22,25.19,1619343,41793050
2025-05-09,26.07,25.45,26.13,25.39,4325657,111435022
2025-05-12,25.45,25.91,25.94,25.41,6425680,164999805
2025-05-13,25.91,25.26,26.28,25.22,9532627,244651851
2025-05-14,25.26,24.33,25.50,24.26,5987871,148724983
2025-05-15,24.33,23.81,24.70,23.56,4609180,111081349
2025-05-16,23.81,23.85,23.90,23.68,4339788,103334882
2025-05-19,23.85,23.65,24.26,23.42,1070811,25479815
2025-05-20,23.65,24.29,24.47,23.47,7404719,177489200
2025-05-21,24.29,24.11,24.60,23.86,8581783,207786940
2025-05-22,24.11,23.66,24.19,23.49,13595019,324378224
2025-05-23,23.66,23.09,23.66,22.71,1875917,43674372
2025-05-26,23.09,23.13,23.26,23.07,4864303,112560824
2025-05-27,23.13,23.02,23.27,22.89,9918684,228877133
2025-05-28,23.02,22.69,23.17,22.60,11986449,274113133
2025-05-29,22.69,23.64,23.83,22.59,2657088,61608880
2025-05-30,23.64,24.09,24.20,23.21,4586200,109096627
2025-06-03,24.09,23.81,24.31,23.54,1348046,32271170
2025-06-04,23.81,24.43,25.04,23.61,11030478,267171933
2025-06-05,24.43,24.77,24.86,24.06,16597310,407150863
2025-06-06,24.77,24.62,25.14,24.50,15639470,387198668
2025-06-09,24.62,25.12,25.27,24.44,11470602,285180565
2025-06-10,25.12,25.19,25.24,24.93,12841632,322604984
2025-06-11,25.19,26.33,26.52,24.86,14396978,370356657
2025-06-12,26.33,26.73,26.77,26.14,5703020,151092665
2025-06-13,26.73,26.84,27.14,26.42,10169895,272372087
2025-06-16,26.84,27.24,27.45,26.66,9485864,256593242
2025-06-17,27.24,26.82,27.38,26.40,10250086,276331958
