date,open,close,high,low,volume,amount
2025-01-02,72.00,71.80,72.51,71.55,6374709,458752256
2025-01-03,71.80,71.43,72.12,70.08,3188678,227532592
2025-01-06,71.43,71.99,72.85,71.28,4042810,290634394
2025-01-07,71.99,72.10,72.45,71.81,2230534,160793306
2025-01-08,72.10,72.28,73.29,71.78,7930037,573834250
2025-01-09,72.28,71.73,72.52,70.97,1958612,140774008
2025-01-10,71.73,71.80,72.31,71.49,5664746,406909085
2025-01-13,71.80,71.75,72.52,71.55,2936372,211134907
2025-01-14,71.75,72.24,73.13,71.43,5004406,361014497
2025-01-15,72.24,72.24,72.55,72.21,3417524,247127969
2025-01-16,72.24,73.42,74.12,71.94,8890747,648416266
2025-01-17,73.42,72.90,73.52,72.89,3969068,290469653
2025-01-20,72.90,71.65,72.93,71.43,6265485,452552784
2025-01-21,71.65,72.70,72.74,71.23,8471862,610666107
2025-01-22,72.70,72.12,73.11,71.16,10659342,770362451
2025-01-23,72.12,73.36,73.98,71.89,4817465,350897924
2025-01-24,73.36,73.32,73.54,72.68,12433221,910459498
2025-01-27,73.32,71.68,73.89,70.63,8046966,582430940
2025-02-05,71.68,73.70,74.87,71.62,4381836,319734942
2025-02-06,73.70,73.37,74.28,72.73,4019990,295551939
2025-02-07,73.37,73.17,73.37,73.07,7363042,539310975
2025-02-10,73.17,74.59,75.62,72.96,4312574,319495499
2025-02-11,74.59,73.65,75.44,73.15,1617688,120044514
2025-02-12,73.65,72.00,74.10,71.80,4215194,307234304
2025-02-13,72.00,73.22,73.64,70.93,4384338,317632614
2025-02-14,73.22,72.24,73.79,71.93,3612009,262941308
2025-02-17,72.24,71.08,72.69,70.98,9174411,658250352
2025-02-18,71.08,71.61,72.24,70.84,3554050,253901014
2025-02-19,71.61,72.58,73.08,71.50,3267063,235861531
2025-02-20,72.58,72.30,72.69,71.58,4157206,300512536
2025-02-21,72.30,71.80,73.00,71.79,2963673,214045776
2025-02-24,71.80,71.36,72.13,71.07,4959709,355067259
2025-02-25,71.36,71.52,71.70,70.74,7258785,517797587
2025-02-26,71.52,71.53,72.53,71.18,5835858,418371889
2025-02-27,71.53,71.78,72.48,71.43,5703436,409525465
2025-02-28,71.78,71.75,72.01,71.58,7634955,548033339
2025-03-03,71.75,69.93,72.23,69.79,8287105,587744208
2025-03-04,69.93,69.28,70.42,68.09,3634566,252342058
2025-03-05,69.28,69.58,69.97,68.31,1811480,125513269
2025-03-06,69.58,68.90,70.37,68.55,1664620,115441488
2025-03-07,68.90,68.82,69.50,68.72,6428851,443479430
2025-03-10,68.82,69.77,70.86,68.43,7901267,548892939
2025-03-11,69.77,69.80,70.54,69.74,4886415,341870829
2025-03-12,69.80,70.22,70.35,69.47,3133467,219218898
2025-03-13,70.22,70.11,71.12,69.74,3592322,252525025
2025-03-14,70.11,70.13,70.67,69.72,6461469,453313638
2025-03-17,70.13,69.44,70.36,68.90,3349122,233462715
2025-03-18,69.44,70.03,70.44,69.19,8297905,578998236
