date,open,close,high,low,volume,amount
2025-01-02,42.00,41.99,42.29,41.96,2583111,108640613
2025-01-03,41.99,42.65,42.83,41.74,4703530,198969476
2025-01-06,42.65,43.35,43.51,42.62,2542238,109403636
2025-01-07,43.35,43.28,43.50,43.07,5443033,235696099
2025-01-08,43.28,42.84,43.42,42.72,2132674,91841988
2025-01-09,42.84,42.93,43.31,42.72,2266823,97356219
2025-01-10,42.93,42.44,43.67,42.28,1366580,58535471
2025-01-13,42.44,41.92,42.50,41.82,4527580,190933013
2025-01-14,41.92,41.37,41.95,41.05,4387402,182392055
2025-01-15,41.37,41.65,41.67,40.83,1721826,71250731
2025-01-16,41.65,42.04,42.63,41.55,8593993,360662574
2025-01-17,42.04,41.72,42.08,41.13,4320399,180340554
2025-01-20,41.72,42.05,42.09,41.43,8108443,339123581
2025-01-21,42.05,41.84,42.59,41.76,2555749,107497823
2025-01-22,41.84,41.88,42.02,41.84,11347394,475418470
2025-01-23,41.88,42.44,42.76,41.33,3430695,144448585
2025-01-24,42.44,43.08,43.24,42.43,4026012,172304077
2025-01-27,43.08,43.09,43.59,41.96,7420514,318581509
2025-02-05,43.09,42.75,43.37,42.42,7274979,312153859
2025-02-06,42.75,42.75,42.97,42.35,4270485,182368756
2025-02-07,42.75,42.83,43.04,42.38,2870802,122727214
2025-02-10,42.83,43.07,43.86,42.67,8052657,347134024
2025-02-11,43.07,43.07,43.16,42.57,5108067,219492713
2025-02-12,43.07,42.48,43.22,42.11,10063080,429873896
2025-02-13,42.48,42.68,43.11,42.20,4109560,175141317
2025-02-14,42.68,41.98,43.01,41.83,2725413,115483900
2025-02-17,41.98,42.76,43.32,41.84,3555749,151029927
2025-02-18,42.76,43.32,43.44,42.49,4197037,180487249
2025-02-19,43.32,42.13,43.89,42.10,9991444,428200045
2025-02-20,42.13,42.60,42.67,41.91,5419137,229367140
2025-02-21,42.60,42.56,43.10,42.08,3593123,153010381
2025-02-24,42.56,42.61,42.88,42.45,5539098,236102549
2025-02-25,42.61,43.32,44.38,42.59,4070601,175945191
2025-02-26,43.32,43.40,43.72,43.01,5501390,238552681
2025-02-27,43.40,43.46,43.47,43.15,6431475,278945455
2025-02-28,43.46,43.18,43.62,43.09,4141477,179486964
2025-03-03,43.18,43.52,43.57,43.15,5936395,257373109
2025-03-04,43.52,43.68,43.90,43.33,2741330,119544394
2025-03-05,43.68,43.53,44.16,43.32,3917946,171102828
2025-03-06,43.53,44.13,44.46,43.26,3909994,171429121
2025-03-07,44.13,44.39,44.97,43.38,7981172,352895653
2025-03-10,44.39,44.98,45.24,44.35,6296558,281702113
2025-03-11,44.98,45.51,45.85,44.38,4929950,222732193
2025-03-12,45.51,46.04,46.07,45.22,2200691,100593236
2025-03-13,46.04,46.70,46.74,45.91,1663496,77100143
2025-03-14,46.70,46.58,47.42,46.54,8361418,391396799
