date,open,close,high,low,volume,amount
2025-01-02,65.00,63.85,65.20,63.10,5159245,331689624
2025-01-03,63.85,64.36,65.09,63.81,2101688,135091203
2025-01-06,64.36,63.99,64.53,63.81,2561070,164344104
2025-01-07,63.99,63.07,64.86,61.90,2650930,168207571
2025-01-08,63.07,63.01,63.55,62.99,3013623,190319708
2025-01-09,63.01,63.69,64.33,62.14,4466462,282697741
2025-01-10,63.69,65.63,66.41,63.63,8726964,565874376
2025-01-13,65.63,66.11,66.67,64.91,3261130,214683815
2025-01-14,66.11,65.34,66.67,65.17,5855874,385438793
2025-01-15,65.34,65.65,66.47,64.47,2652172,173672347
2025-01-16,65.65,64.68,65.99,64.39,8408310,548027419
2025-01-17,64.68,63.50,64.80,63.37,1052678,67463284
2025-01-20,63.50,63.26,65.57,63.26,2900315,185325775
2025-01-21,63.26,63.31,63.33,62.48,6518490,411307999
2025-01-22,63.31,64.77,65.78,63.26,867069,55736249
2025-01-23,64.77,62.92,65.54,62.09,3841363,245198205
2025-01-24,62.92,65.76,66.55,62.68,2735065,176355437
2025-01-27,65.76,65.52,65.92,64.64,6651317,435406525
2025-02-05,65.52,63.75,65.58,62.70,5400480,347725380
2025-02-06,63.75,63.28,65.17,62.15,7387537,469734183
2025-02-07,63.28,63.01,63.58,61.63,5231803,328937401
2025-02-10,63.01,62.40,63.36,61.07,8450825,527842864
2025-02-11,62.40,62.75,63.05,61.95,3707243,231842723
2025-02-12,62.75,60.87,62.79,60.78,5483452,338850877
2025-02-13,60.87,60.88,61.57,60.02,6443665,391987811
2025-02-14,60.88,61.24,61.94,60.72,6795941,415878406
2025-02-17,61.24,61.62,62.07,60.60,2213497,135869275
2025-02-18,61.62,61.06,63.11,60.97,5318316,328085145
2025-02-19,61.06,61.38,61.64,60.22,3794743,231768524
2025-02-20,61.38,60.83,61.73,60.16,4818825,294075909
2025-02-21,60.83,61.37,61.79,59.38,1434510,87281297
2025-02-24,61.37,62.50,62.68,60.81,8307470,513733313
2025-02-25,62.50,63.04,64.33,62.46,4714273,297389280
2025-02-26,63.04,63.38,63.98,62.40,5300099,334959253
2025-02-27,63.38,62.25,63.44,61.90,7443509,467027777
2025-02-28,62.25,62.77,63.57,61.41,8225508,514102281
2025-03-03,62.77,62.69,63.75,62.39,3275442,206022752
2025-03-04,62.69,63.02,63.78,62.50,100000,6299775
2025-03-05,63.02,62.69,64.29,61.96,3201337,201645833
2025-03-06,62.69,61.82,62.81,61.50,4050976,252003258
2025-03-07,61.82,60.31,61.87,58.99,4833947,293651358
2025-03-10,60.31,60.63,61.14,60.25,471472,28561165
2025-03-11,60.63,61.03,61.82,60.62,4001214,244163477
2025-03-12,61.03,60.45,61.09,60.43,3169026,192518710
2025-03-13,60.45,60.80,61.25,60.06,6602650,400389165
2025-03-14,60.80,61.98,62.46,60.47,2826683,173636929
2025-03-17,61.98,61.73,62.40,60.62,8454185,521469441
2025-03-18,61.73,61.56,62.21,60.71,10071680,619917959
2025-03-19,61.56,59.98,61.97,59.95,7135976,434330162
