date,open,close,high,low,volume,amount
2025-01-02,42.00,42.57,42.96,41.84,3225720,136584008
2025-01-03,42.57,42.60,43.01,42.45,3447897,147079469
2025-01-06,42.60,43.44,43.57,42.51,2724775,117247608
2025-01-07,43.44,42.86,43.66,42.67,2256895,97402426
2025-01-08,42.86,42.43,43.12,42.40,4136422,176627653
2025-01-09,42.43,42.44,42.68,41.98,4823679,204432956
2025-01-10,42.44,42.26,42.78,42.22,4681034,198584308
2025-01-13,42.26,42.09,42.37,41.79,6951471,292835285
2025-01-14,42.09,42.67,42.86,41.89,4157545,176185856
2025-01-15,42.67,42.45,42.69,42.16,3165106,134498154
2025-01-16,42.45,43.03,43.30,42.44,2739291,117258644
2025-01-17,43.03,43.39,43.66,43.01,3377169,146132645
2025-01-20,43.39,43.99,44.11,43.07,9511247,415066696
2025-01-21,43.99,44.54,44.97,43.62,7424242,328720620
2025-01-22,44.54,44.51,44.72,44.48,3966768,176769346
2025-01-23,44.51,44.43,44.93,43.57,5650888,250667090
2025-01-24,44.43,45.39,45.59,44.26,1132342,50861985
2025-01-27,45.39,46.20,46.58,45.29,5444687,249718640
2025-02-05,46.20,46.08,46.32,45.84,6809685,313974274
2025-02-06,46.08,46.03,46.38,45.81,11158092,514106726
2025-02-07,46.03,45.75,46.15,45.24,3995975,182992040
2025-02-10,45.75,46.26,46.53,45.66,2598543,119656840
2025-02-11,46.26,46.46,46.52,45.80,2308272,106780398
2025-02-12,46.46,46.27,46.82,46.12,8892472,412770384
2025-02-13,46.27,46.12,46.31,46.05,1558827,72000881
2025-02-14,46.12,45.48,46.35,45.46,7239681,331956697
2025-02-17,45.48,45.06,45.53,44.83,5329923,241031941
2025-02-18,45.06,45.85,45.95,44.85,7427551,337402034
2025-02-19,45.85,45.88,45.94,45.84,4441736,203766888
2025-02-20,45.88,46.44,46.49,45.73,6973949,321738061
2025-02-21,46.44,46.21,46.84,46.12,3530770,163837189
2025-02-24,46.21,46.66,46.73,45.76,7332232,339784584
2025-02-25,46.66,46.78,46.93,46.32,2627755,122644357
2025-02-26,46.78,47.11,47.38,46.63,4175878,196158438
2025-02-27,47.11,46.60,47.31,46.00,2295863,107339052
2025-02-28,46.60,46.50,46.67,46.36,3614322,168175080
2025-03-03,46.50,46.64,46.78,46.04,5607325,260690121
2025-03-04,46.64,46.89,47.16,46.42,2663915,124618610
2025-03-05,46.89,47.40,47.87,46.86,1876168,88662385
2025-03-06,47.40,47.35,47.46,47.34,4027023,190838227
2025-03-07,47.35,47.48,47.51,46.60,7467491,352730159
2025-03-10,47.48,46.46,47.49,45.76,3711261,173677303
2025-03-11,46.46,46.06,46.72,45.99,9769867,452401985
2025-03-12,46.06,46.40,46.42,45.77,7126945,328975227
2025-03-13,46.40,46.03,46.64,45.74,4334765,200276166
2025-03-14,46.03,46.60,47.02,46.02,6067953,281671688
2025-03-17,46.60,46.31,46.64,46.22,3632887,168722471
2025-03-18,46.31,45.62,46.32,45.27,4866127,223252920
2025-03-19,45.62,46.47,46.93,45.59,1481879,68392616
2025-03-20,46.47,46.84,46.89,46.21,5879340,274011924
2025-03-21,46.84,46.44,47.40,46.26,2713021,126795928
2025-03-24,46.44,46.45,46.50,46.27,3673025,170482292
2025-03-25,46.45,46.42,46.70,45.82,5259102,243744197
2025-03-26,46.42,46.67,47.02,46.20,4274475,199088446
2025-03-27,46.67,47.00,47.48,46.43,1521171,71335385
2025-03-28,47.00,47.38,47.47,46.84,5081506,239702552
2025-03-31,47.38,47.72,48.06,47.35,4645804,221258394
2025-04-01,47.72,47.54,47.87,47.22,5019297,238848769
2025-04-02,47.54,47.84,47.85,47.47,10984413,523660454
2025-04-03,47.84,47.84,48.01,47.54,4041280,193187660
2025-04-08,47.84,47.93,48.08,47.29,2576780,123124489
2025-04-09,47.93,47.36,48.28,47.17,4035091,192412562
2025-04-10,47.36,48.45,48.81,46.96,4442747,212786397
2025-04-11,48.45,48.63,48.80,48.17,4305336,208863397
2025-04-14,48.63,48.12,48.77,47.97,5204192,251755083
2025-04-15,48.12,47.77,48.22,47.58,4583679,219672384
2025-04-16,47.77,46.74,47.80,46.45,5937936,280218944
2025-04-17,46.74,46.90,47.00,46.39,3248373,151888740
2025-04-18,46.90,47.48,47.64,46.25,5350282,251818793
2025-04-21,47.48,47.17,47.69,47.00,3010293,142492476
2025-04-22,47.17,47.46,47.63,47.15,5897900,279271472
2025-04-23,47.46,46.95,47.74,46.82,6536624,308796324
2025-04-24,46.95,45.81,47.26,45.58,3057757,141876952
2025-04-25,45.81,45.59,45.82,45.56,7280477,332674356
2025-04-28,45.59,45.44,46.00,45.37,2773501,126469652
2025-04-29,45.44,45.67,46.22,45.27,3669082,167497973
2025-04-30,45.67,45.61,45.84,45.06,7922235,360808925
2025-05-06,45.61,45.88,46.02,45.56,4588387,210003444
2025-05-07,45.88,45.87,46.44,45.74,7587321,348887877
