date,open,close,high,low,volume,amount
2025-01-02,48.00,47.58,48.03,47.23,5241276,250069299
2025-01-03,47.58,47.39,47.83,46.88,10669676,505972096
2025-01-06,47.39,47.68,47.91,47.00,4098270,194658134
2025-01-07,47.68,47.37,48.09,46.71,1059291,50276569
2025-01-08,47.37,47.62,47.70,47.18,3689951,175149510
2025-01-09,47.62,46.83,47.80,46.55,6895969,325494527
2025-01-10,46.83,46.28,47.24,45.81,6362890,296109284
2025-01-13,46.28,45.74,46.75,45.53,100000,4607391
2025-01-14,45.74,44.84,45.89,44.71,10083848,456750505
2025-01-15,44.84,43.72,44.86,43.10,3277481,144632541
2025-01-16,43.72,44.38,44.78,43.14,4797309,211099168
2025-01-17,44.38,44.93,45.23,43.86,5301091,236429785
2025-01-20,44.93,45.55,45.66,44.76,3294470,148997301
2025-01-21,45.55,44.94,45.90,44.88,9419968,426914374
2025-01-22,44.94,45.06,45.39,44.78,5317205,239492602
2025-01-23,45.06,43.98,45.83,43.65,2246314,100252746
2025-01-24,43.98,43.93,44.07,43.83,4835203,212516128
2025-01-27,43.93,43.34,43.95,43.16,5664183,246914705
2025-02-05,43.34,43.11,43.58,42.53,6518180,281182362
2025-02-06,43.11,43.13,43.43,42.50,5580547,240210073
2025-02-07,43.13,42.34,43.16,42.30,8973641,383461787
2025-02-10,42.34,42.29,42.56,42.10,4798353,203074497
2025-02-11,42.29,41.26,42.44,41.09,3371565,140835244
2025-02-12,41.26,42.06,42.49,40.95,6539524,272656962
2025-02-13,42.06,41.93,42.41,41.93,10242050,431024461
2025-02-14,41.93,42.28,42.40,41.75,6126260,257855579
2025-02-17,42.28,42.25,42.58,42.15,3205539,135642659
2025-02-18,42.25,42.46,42.54,41.75,3673636,155207063
2025-02-19,42.46,42.02,42.91,41.75,4535810,191784246
2025-02-20,42.02,42.83,42.97,41.84,2552296,108251891
2025-02-21,42.83,43.56,43.73,42.60,3848297,166169292
2025-02-24,43.56,43.67,43.92,43.03,4142345,180378238
2025-02-25,43.67,43.25,43.78,43.13,7540158,327675504
2025-02-26,43.25,42.36,44.03,41.69,3658282,156701536
2025-02-27,42.36,42.67,42.96,42.07,1333380,56692237
2025-02-28,42.67,42.66,43.28,42.32,4297760,183654838
2025-03-03,42.66,42.44,42.74,42.15,4154601,176552738
2025-03-04,42.44,42.37,43.27,42.12,429500,18275105
2025-03-05,42.37,41.85,42.44,41.65,3501340,147314783
2025-03-06,41.85,42.08,42.30,41.48,1971505,82658752
2025-03-07,42.08,42.61,42.77,41.69,2365025,100018278
2025-03-10,42.61,42.59,42.81,42.43,4870585,207539002
2025-03-11,42.59,42.07,42.84,41.76,9766379,413256911
2025-03-12,42.07,41.87,42.36,41.52,4693101,196894370
2025-03-13,41.87,41.93,42.82,41.84,18030646,759340920
2025-03-14,41.93,41.43,42.01,41.04,7517936,312762251
2025-03-17,41.43,41.16,41.52,40.97,4655212,192122156
2025-03-18,41.16,41.60,41.64,41.07,8329190,344570029
2025-03-19,41.60,41.70,41.76,41.19,1821795,75719327
2025-03-20,41.70,42.30,42.53,41.64,1357397,57067649
2025-03-21,42.30,41.97,42.32,41.75,3479261,146415142
2025-03-24,41.97,41.96,42.32,41.92,10809731,454444994
2025-03-25,41.96,42.63,43.45,41.73,9580367,406639447
2025-03-26,42.63,43.33,43.73,42.47,8155305,351009128
2025-03-27,43.33,43.79,43.98,43.30,2232780,97350627
2025-03-28,43.79,43.81,43.87,43.00,7960281,347207352
2025-03-31,43.81,42.95,43.99,42.84,5686177,246783289
2025-04-01,42.95,41.87,43.21,41.46,3849693,163118940
2025-04-02,41.87,43.03,43.40,41.65,8524970,362196467
2025-04-03,43.03,42.80,43.58,42.58,4477272,192497503
2025-04-08,42.80,42.18,42.86,41.76,7282566,308779609
2025-04-09,42.18,41.75,42.19,41.52,5874947,246223939
2025-04-10,41.75,42.12,42.71,41.47,270876,11380020
2025-04-11,42.12,42.15,42.28,41.55,3161547,132862457
2025-04-14,42.15,42.18,42.42,41.79,8479562,357303517
2025-04-15,42.18,42.52,42.91,42.15,4478713,190083820
2025-04-16,42.52,41.62,42.64,41.17,4436135,186270416
2025-04-17,41.62,41.89,42.42,41.58,5905947,247337716
2025-04-18,41.89,41.41,41.94,41.36,4552367,189613053
2025-04-21,41.41,41.36,41.65,41.28,3789019,156958834
2025-04-22,41.36,41.31,42.28,41.14,2606453,108223278
2025-04-23,41.31,42.08,42.40,41.15,3243490,135361355
2025-04-24,42.08,42.29,42.32,41.84,6266953,264037431
2025-04-25,42.29,42.34,42.62,41.55,3977694,167850971
2025-04-28,42.34,41.89,42.68,41.75,10932539,460959506
2025-04-29,41.89,42.07,42.42,41.63,2244266,94261631
2025-04-30,42.07,41.23,42.19,40.78,3621222,150516129
2025-05-06,41.23,41.20,42.08,40.85,7997913,330619925
2025-05-07,41.20,40.96,41.84,40.50,9743180,400691622
2025-05-08,40.96,40.53,41.15,40.16,4261794,173439259
2025-05-09,40.53,40.17,40.58,40.07,5633020,227226178
2025-05-12,40.17,40.15,40.23,39.88,3369500,135137540
2025-05-13,40.15,39.98,40.28,39.93,3480705,139523146
2025-05-14,39.98,41.08,41.31,39.79,3565013,144527432
2025-05-15,41.08,41.49,41.53,40.65,3461742,142586861
2025-05-16,41.49,42.07,42.24,40.67,7374681,306914812
2025-05-19,42.07,42.87,42.91,41.95,2080218,88300499
2025-05-20,42.87,42.24,42.91,41.85,7162322,304152447
2025-05-21,42.24,42.67,42.71,41.81,6160759,260941731
2025-05-22,42.67,42.11,42.93,41.81,3458246,146562750
2025-05-23,42.11,42.04,42.13,41.90,12549971,527663845
2025-05-26,42.04,42.33,42.56,41.52,3081793,129781547
2025-05-27,42.33,41.41,42.71,41.20,6357950,266482736
2025-05-28,41.41,41.97,42.56,40.89,7034966,293428378
2025-05-29,41.97,42.90,43.21,41.94,879870,37399539
2025-05-30,42.90,43.20,43.79,42.71,6366050,274689858
2025-06-03,43.20,43.18,43.39,42.85,7225661,311834175
2025-06-04,43.18,43.19,43.35,43.07,9270541,400472600
2025-06-05,43.19,42.70,43.33,42.10,2923033,125196174
2025-06-06,42.70,42.53,43.13,42.11,5725325,243987939
2025-06-09,42.53,42.04,43.10,41.92,8657963,367087763
2025-06-10,42.04,41.77,42.21,41.31,4027959,168500927
2025-06-11,41.77,42.25,42.46,41.68,5717221,240339502
2025-06-12,42.25,42.60,42.62,41.78,7474139,316229499
2025-06-13,42.60,41.39,42.70,40.70,3487287,145934688
2025-06-16,41.39,40.82,41.43,40.57,4762348,195503273
2025-06-17,40.82,41.47,41.49,40.56,4286590,176113916
2025-06-18,41.47,41.24,41.62,41.15,6586369,272467297
2025-06-19,41.24,41.43,41.66,40.80,4092780,168958477
2025-06-20,41.43,41.68,42.25,41.16,7912428,329394302
2025-06-23,41.68,41.01,42.25,40.88,4420059,183242235
2025-06-24,41.01,41.90,42.12,40.95,6938354,287911119
2025-06-25,41.90,41.97,42.24,41.57,4764563,199732416
2025-06-26,41.97,41.83,42.07,41.52,2633608,110215399
2025-06-27,41.83,42.27,43.29,41.51,2520045,106405167
2025-06-30,42.27,42.41,42.75,42.17,100000,4239793
2025-07-01,42.41,42.04,42.44,41.74,7384078,311291175
2025-07-02,42.04,42.27,42.32,41.78,3544101,149207247
2025-07-03,42.27,41.54,42.27,40.72,7696070,320927106
2025-07-04,41.54,40.60,41.92,40.60,5255991,216350763
2025-07-07,40.60,40.41,40.84,40.03,3546728,143538395
2025-07-08,40.41,40.13,40.63,40.00,9839133,396456391
2025-07-09,40.13,39.88,40.19,39.85,10719900,428943262
2025-07-10,39.88,40.19,40.26,39.87,4361179,174665704
2025-07-11,40.19,40.17,40.59,40.00,2813772,113214953
2025-07-14,40.17,40.01,40.46,39.86,6188205,248291926
2025-07-15,40.01,40.93,41.27,39.33,7874459,318025041
2025-07-16,40.93,41.35,41.39,40.79,2165202,89024770
2025-07-17,41.35,41.56,41.58,41.26,2918813,120948481
2025-07-18,41.56,41.71,41.95,41.06,10715925,445435997
2025-07-21,41.71,40.85,41.76,40.60,6182759,254909270
2025-07-22,40.85,40.40,41.24,40.32,8374829,340865231
2025-07-23,40.40,39.61,41.04,39.41,11299485,453273273
2025-07-24,39.61,39.09,39.96,38.60,3868545,152096221
2025-07-25,39.09,40.41,40.87,38.43,3654929,145096808
2025-07-28,40.41,41.19,41.29,40.41,7495172,305995876
2025-07-29,41.19,41.09,41.27,40.82,7173249,294753624
2025-07-30,41.09,42.32,42.36,40.77,9617020,400384092
2025-07-31,42.32,42.14,42.39,41.75,752581,31720408
2025-08-01,42.14,42.63,42.76,41.97,3882619,164527536
2025-08-04,42.63,41.88,43.27,41.60,5554977,235232307
2025-08-05,41.88,41.35,42.80,40.97,4085533,170565284
2025-08-06,41.35,42.15,42.72,41.27,5239673,219395405
2025-08-07,42.15,40.72,42.15,40.60,3439847,142427326
2025-08-08,40.72,41.31,41.49,40.49,3713406,152251090
2025-08-11,41.31,41.02,41.75,40.81,13951487,575138266
2025-08-12,41.02,40.48,41.81,40.20,8553005,349624984
2025-08-13,40.48,41.74,42.02,40.02,3141714,129010767
2025-08-14,41.74,42.08,42.21,41.51,11822436,495188725
2025-08-15,42.08,42.17,42.60,41.94,9530176,402154980
2025-08-18,42.17,41.44,42.52,41.08,5229486,218609831
2025-08-19,41.44,41.04,41.80,40.78,2996332,123645748
2025-08-20,41.04,40.77,41.11,40.00,5743168,233916077
2025-08-21,40.77,40.47,40.93,40.23,5095868,206893118
2025-08-22,40.47,41.32,41.48,40.34,1356019,55464413
2025-08-25,41.32,43.03,43.42,41.23,3268116,138076400
2025-08-26,43.03,44.12,44.36,42.50,3844498,167241737
2025-08-27,44.12,44.48,44.95,43.91,7071850,313753115
2025-08-28,44.48,44.13,44.95,43.77,2663939,118099864
2025-08-29,44.13,44.02,44.49,43.84,8441348,372438256
2025-09-01,44.02,43.90,44.43,43.77,6368715,280417226
2025-09-02,43.90,44.08,44.50,43.49,6846796,301206797
2025-09-03,44.08,43.98,44.18,43.28,8736788,383355663
2025-09-04,43.98,43.79,44.41,43.58,2267469,99636969
2025-09-05,43.79,42.71,43.89,42.46,11176502,482988800
2025-09-08,42.71,42.87,42.93,42.31,6496064,277430403
2025-09-09,42.87,43.64,43.68,42.36,8012053,345612159
2025-09-10,43.64,44.13,44.86,43.57,8386663,369433255
2025-09-11,44.13,44.37,44.57,43.54,5860804,258772839
2025-09-12,44.37,44.48,45.30,43.71,1693424,75299459
2025-09-16,44.48,44.16,45.53,43.97,6338415,282289021
2025-09-17,44.16,43.76,44.31,43.61,5726768,251758681
2025-09-18,43.76,43.13,44.02,42.81,6633007,288080480
2025-09-19,43.13,43.05,43.16,42.78,10844354,466652896
2025-09-22,43.05,43.20,43.86,42.78,4720548,204033553
2025-09-23,43.20,42.70,43.46,42.57,9167083,394000532
2025-09-24,42.70,42.64,43.16,42.63,6705605,286880041
2025-09-25,42.64,42.53,43.03,42.36,4920733,209815871
2025-09-26,42.53,42.61,42.77,42.12,5515554,234449791
2025-09-29,42.61,42.68,42.89,42.30,2865661,122134778
2025-09-30,42.68,41.85,42.76,41.30,3537426,149100952
2025-10-09,41.85,42.07,42.37,41.50,3559696,149328016
2025-10-10,42.07,42.41,42.54,41.93,1098424,46397537
2025-10-13,42.41,43.50,43.75,41.64,1486783,63670898
2025-10-14,43.50,43.25,43.56,42.99,7004295,303458238
2025-10-15,43.25,43.34,43.55,42.98,4044757,175051652
2025-10-16,43.34,45.41,46.12,43.18,798093,35527039
2025-10-17,45.41,44.36,45.63,43.71,2544451,113937303
2025-10-20,44.36,44.57,44.75,44.22,5839597,259720680
2025-10-21,44.57,44.23,44.68,44.16,11337885,503499306
2025-10-22,44.23,43.51,44.27,43.25,8723079,382208814
2025-10-23,43.51,44.96,45.46,43.15,7378305,326626604
2025-10-24,44.96,44.27,45.35,43.77,7013325,312703901
2025-10-27,44.27,44.30,45.15,43.97,5579025,247834014
2025-10-28,44.30,44.26,44.59,44.19,4821955,213790856
2025-10-29,44.26,44.66,45.15,43.39,4068842,180521416
2025-10-30,44.66,44.26,45.13,44.19,9609302,428178148
2025-10-31,44.26,44.99,45.01,44.21,7562646,337432784
2025-11-03,44.99,45.49,45.81,44.47,5327138,240745559
2025-11-04,45.49,43.35,45.80,43.02,3450752,153274972
2025-11-05,43.35,43.63,43.83,43.34,4041244,175938650
2025-11-06,43.63,43.91,44.25,43.59,3032147,132941609
2025-11-07,43.91,43.76,44.09,43.47,9184168,402338633
2025-11-10,43.76,43.42,43.86,43.07,6707959,291986105
2025-11-11,43.42,44.02,44.16,43.33,6917974,302547673
2025-11-12,44.02,44.55,44.70,43.74,9742718,431148358
2025-11-13,44.55,44.44,44.69,43.75,2339760,103783212
2025-11-14,44.44,45.95,46.26,44.38,5736836,259634584
2025-11-17,45.95,45.08,46.34,44.62,4009757,182430317
2025-11-18,45.08,45.77,46.06,44.78,3926479,178349502
2025-11-19,45.77,46.58,46.82,45.62,3183463,147057157
2025-11-20,46.58,47.21,47.34,46.19,11164513,522845845
2025-11-21,47.21,47.40,47.94,46.45,4498688,212569876
2025-11-24,47.40,47.17,48.22,46.22,12198225,576394253
2025-11-25,47.17,47.25,47.41,47.08,4617375,218070913
2025-11-26,47.25,46.58,47.31,45.97,3649223,170706905
2025-11-27,46.58,47.91,48.14,46.43,8488016,401182816
2025-11-28,47.91,47.38,47.94,47.18,4401459,209518286
2025-12-01,47.38,46.33,47.53,46.32,3778466,177177735
2025-12-02,46.33,46.20,46.46,45.37,5664557,261073078
2025-12-03,46.20,48.11,48.79,46.15,6581313,311371762
2025-12-04,48.11,48.58,49.17,47.97,3263456,158134919
2025-12-05,48.58,48.91,49.37,48.56,7840211,383037313
2025-12-08,48.91,49.18,49.52,48.59,10825570,531005560
2025-12-09,49.18,47.74,49.94,47.16,4467938,216721215
2025-12-10,47.74,47.72,48.10,47.46,2518203,120257210
2025-12-11,47.72,47.22,47.90,46.86,2743273,130094632
2025-12-12,47.22,47.70,47.84,46.69,1298063,61478623
2025-12-15,47.70,47.17,48.00,47.05,8646109,410507829
2025-12-16,47.17,46.94,47.48,46.06,3436580,161215164
2025-12-17,46.94,46.63,46.99,46.27,4568333,213365033
2025-12-18,46.63,46.18,46.74,45.66,6814504,315535357
2025-12-19,46.18,45.32,46.56,44.75,4194471,191698185
2025-12-22,45.32,44.38,45.68,44.07,7757303,348006460
2025-12-23,44.38,44.97,45.17,44.04,4374658,195290172
2025-12-24,44.97,44.83,45.24,44.78,3903099,175466744
2025-12-25,44.83,45.17,45.33,44.64,2862326,128777088
2025-12-26,45.17,45.34,45.46,44.70,3706429,167413491
2025-12-29,45.34,45.45,45.64,45.25,7129590,323813126
2025-12-30,45.45,45.09,45.81,44.88,5931211,268731976
2025-12-31,45.09,45.53,45.58,44.55,1893359,85554937
2026-01-02,45.53,45.67,45.79,45.45,2181910,99519358
