date,open,close,high,low,volume,amount
2025-01-02,16.00,15.61,16.18,14.99,7253722,113830633
2025-01-03,15.61,15.80,15.88,15.54,4999175,78509592
2025-01-06,15.80,15.97,16.36,15.63,9771337,155756416
2025-01-07,15.97,17.11,17.13,15.75,3296741,54368210
2025-01-08,17.11,17.05,17.35,16.78,3677561,62789845
2025-01-09,17.05,17.42,17.45,16.64,5585272,95733224
2025-01-10,17.42,18.25,18.33,17.34,3845707,68583462
2025-01-13,18.25,18.71,18.84,18.21,7160194,132462825
2025-01-14,18.71,19.34,19.79,18.59,7938267,151671375
2025-01-15,19.34,18.95,19.38,18.94,1874692,35903816
2025-01-16,18.95,19.10,19.29,18.62,4781568,90799819
2025-01-17,19.10,19.00,19.16,18.91,4065970,77419699
2025-01-20,19.00,18.82,19.42,18.72,5807638,110283586
2025-01-21,18.82,18.78,19.05,18.69,4521434,85164649
2025-01-22,18.78,19.08,19.15,18.38,2624721,49472298
2025-01-23,19.08,18.53,19.16,18.41,5011556,94190332
2025-01-24,18.53,19.35,19.87,18.31,3213674,61106279
2025-01-27,19.35,19.13,19.79,18.82,3100982,59762682
2025-02-05,19.13,19.34,19.70,18.50,3670376,70348698
2025-02-06,19.34,19.53,19.82,19.22,4524418,88123777
2025-02-07,19.53,20.15,20.33,19.12,6250170,123635543
2025-02-10,20.15,19.96,20.48,19.80,2659446,53446956
2025-02-11,19.96,19.57,20.60,19.16,1368463,27124232
2025-02-12,19.57,19.81,20.07,19.33,4542112,89462928
2025-02-13,19.81,20.72,20.76,19.73,3537147,71647971
2025-02-14,20.72,20.00,21.01,19.77,3236832,65949557
2025-02-17,20.00,20.05,20.33,19.78,4268095,85521921
2025-02-18,20.05,20.99,21.13,19.72,5758614,117892905
2025-02-19,20.99,20.23,21.27,20.01,4948200,102055472
2025-02-20,20.23,20.65,20.73,20.02,4004724,81721090
2025-02-21,20.65,20.63,21.15,20.40,2203054,45624017
2025-02-24,20.63,21.29,21.47,20.49,9536912,199983728
2025-02-25,21.29,20.73,21.59,20.61,5272511,111012496
2025-02-26,20.73,21.03,21.24,20.61,1703295,35604857
2025-02-27,21.03,20.76,21.47,20.61,6011948,126052712
2025-02-28,20.76,19.61,21.39,19.58,2623295,53344869
2025-03-03,19.61,19.21,19.89,19.16,2808718,54678836
2025-03-04,19.21,18.60,19.32,18.44,2074408,39188233
2025-03-05,18.60,18.24,18.85,18.03,4336598,79928857
2025-03-06,18.24,17.68,18.40,17.63,3353012,60316736
2025-03-07,17.68,16.73,17.88,16.70,7416629,127928900
2025-03-10,16.73,16.85,17.09,16.48,7524876,126323333
2025-03-11,16.85,16.86,17.11,16.60,1839279,30997410
2025-03-12,16.86,15.98,17.04,15.93,6149339,101185638
2025-03-13,15.98,16.81,16.99,15.67,7413434,121294429
2025-03-14,16.81,16.64,16.93,16.47,7309826,122164098
2025-03-17,16.64,16.32,16.71,16.04,4351809,71487522
2025-03-18,16.32,16.76,16.78,16.21,3972229,65610535
2025-03-19,16.76,17.01,17.02,16.40,9927418,166771489
2025-03-20,17.01,16.54,17.22,16.43,8343227,140159171
2025-03-21,16.54,17.08,17.20,16.33,9950325,167033099
2025-03-24,17.08,16.89,17.64,16.68,5908063,100867780
2025-03-25,16.89,16.77,17.14,16.67,6438735,108595663
2025-03-26,16.77,16.72,16.81,16.67,10957979,183435909
2025-03-27,16.72,16.93,17.01,16.67,4981583,83837308
2025-03-28,16.93,18.01,18.16,16.36,3106184,53930086
2025-03-31,18.01,19.51,19.68,17.33,6859704,127803382
2025-04-01,19.51,19.11,19.63,18.88,4452126,85853794
2025-04-02,19.11,19.87,20.04,18.78,4548865,88460487
2025-04-03,19.87,19.39,19.99,19.00,2476527,48449140
2025-04-08,19.39,20.12,20.20,19.27,2040730,40300669
2025-04-09,20.12,19.97,20.46,19.96,4866966,97964070
2025-04-10,19.97,20.11,20.12,19.82,6688959,133812792
2025-04-11,20.11,20.63,20.97,19.96,2816222,57501064
2025-04-14,20.63,21.55,21.72,20.52,2344005,49470963
2025-04-15,21.55,21.26,21.83,20.61,6118993,130416978
2025-04-16,21.26,22.13,22.57,21.08,7767202,169010778
2025-04-17,22.13,22.34,22.41,21.55,4412685,97557343
2025-04-18,22.34,22.11,22.67,21.72,6340006,140810514
2025-04-21,22.11,21.11,22.25,20.85,2184354,47139937
2025-04-22,21.11,20.39,21.31,20.10,1659212,34391944
2025-04-23,20.39,19.78,20.50,19.65,2826282,56749894
2025-04-24,19.78,19.63,20.19,19.52,2033238,40214337
2025-04-25,19.63,19.51,19.95,19.21,4339230,84938115
2025-04-28,19.51,19.60,19.70,18.87,7101097,137908042
2025-04-29,19.60,20.16,20.27,19.46,3055157,60717269
2025-04-30,20.16,19.93,20.71,19.68,1611336,32418495
2025-05-06,19.93,20.81,21.02,19.85,3552491,72487411
2025-05-07,20.81,21.29,21.48,20.68,174861,3683759
2025-05-08,21.29,21.00,21.30,20.85,1446021,30526525
2025-05-09,21.00,20.00,21.34,19.14,2298370,46816348
2025-05-12,20.00,20.39,20.50,19.82,4033862,81387757
